ID,activity,rdMD_123,rdMD_71,fcfp4_807,rdMD_1,fcfp4_33,rdMD_312,rdMD_277,rdMD_266,rdMD_261,rdMD_50,rdMD_20,rdMD_30,rdMD_52,fcfp4_25,rdMD_76,rdMD_221,rdMD_315,rdMD_314,rdMD_264,rdMD_29
18817139,0.763802,1.0667,12.96557803,0,65.6,0,1.279,0.712,-0.032,0.207,18.19910121,5.478079082,1.930234227,12.39368714,0,5.687386275,0.111,1.247,1.152,-0.104,3.001807129
60174406,1.176236,3.51262,24.30932295,1,95.06,0,0.769,1.007,-0.071,0.077,36.39820241,7.847184853,4.090203011,35.17263322,0,16.85126421,-0.145,1.006,0.977,0.162,5.60874393
49946784,0.675687,1.13062,13.59242839,0,55.63,0,0.645,1.181,-0.192,-0.11,6.066367068,4.080163217,1.228885049,13.24451555,0,0.0,-0.25,0.704,0.97,0.455,2.111629871
136967,0.675687,1.5084,11.28161936,1,96.35,0,1.463,1.03,-0.195,0.05,6.9237372,8.771426263,4.093772317,44.83853165,0,0.0,-0.142,0.723,1.084,-0.255,5.720845877
27459634,1.137164,3.49894,0.0,0,54.88,0,1.438,0.903,0.185,0.007,24.26546827,5.324074074,2.287081203,17.27699578,0,10.90292493,-0.095,0.637,0.756,-0.219,3.330257051
2353222,2.020461,3.0113,13.08951281,0,24.94,0,1.134,0.979,-0.394,-0.035,6.066367068,6.976677183,3.308404298,44.83198993,0,0.0,-0.108,1.224,1.364,-0.237,4.709787073
177079,0.675687,2.7769,6.420821623,0,24.92,0,0.911,0.954,-0.541,0.204,18.19910121,4.842150944,2.741894384,11.58306779,0,10.90292493,-0.105,1.633,1.547,-0.039,3.703301935
215355,0.675687,0.9248,4.736862954,1,63.25,0,1.293,1.072,-0.461,-0.186,0.0,7.208163303,2.299207888,37.02668305,0,0.0,-0.193,1.565,1.59,-0.32,3.392446391
18817053,0.675687,2.0913,9.531400138,1,54.46,0,0.761,1.005,-0.406,-0.09,11.33678588,5.144056748,2.08337191,25.70063629,0,10.21662063,-0.12,1.392,1.365,0.097,4.058083953
29377737,0.675687,2.84802,18.26303079,0,59.81,0,1.132,0.88,-0.083,-0.024,18.19910121,5.971873605,2.482762486,30.74548939,0,10.90292493,-0.031,1.262,1.656,-0.025,3.517427618
300542889,0.718585,3.3286,6.606881965,1,24.5,0,1.241,1.091,0.198,-0.1,29.8000411,6.831841736,2.440325976,42.95541228,0,0.0,-0.018,0.579,0.733,-0.367,3.870497935
324071118,0.675687,4.35112,0.0,0,79.38,0,1.213,0.998,0.096,-0.061,0.0,10.01806789,3.138908757,12.61112347,0,10.21662063,-0.103,1.047,0.918,-0.263,5.75870055
46651868,0.675687,2.59032,12.96557803,0,68.25,0,1.453,1.135,-0.049,-0.133,12.02241901,5.321676068,2.027527489,18.81450877,0,5.647177221,-0.216,0.8,1.043,-0.508,3.01705044
301025873,0.675687,2.3968,0.0,0,85.25,0,1.382,0.827,-0.47,-0.01,19.00413766,5.300635152,3.28543453,30.74318768,0,11.09972086,0.026,0.271,1.602,-0.142,4.777494282
43646845,0.675687,2.2021,7.047671983,0,80.9,1,1.1,0.93,0.058,-0.064,13.8474744,5.64489142,1.791474118,25.00481062,1,12.15204021,-0.091,0.742,0.725,-0.084,2.763859762
317409561,0.675687,1.5493,11.21535881,1,100.21,0,1.411,0.966,-0.236,0.011,42.46456948,7.514323851,3.044512831,13.46849361,0,0.0,-0.12,0.868,1.369,-0.234,4.515319393
300525339,0.890141,4.3958,6.544756406,0,80.27,0,0.865,0.955,-0.365,0.143,57.02095299,10.08367347,3.231437125,24.71933137,0,5.647177221,-0.038,0.74,1.372,0.169,4.874573425
24888190,1.426137,4.4733,11.33929359,0,49.58,0,0.929,0.803,-0.152,0.074,17.28939739,7.594964542,4.550441561,42.56821804,0,10.96924436,-0.001,1.176,0.904,-0.08,6.163840984
31406035,1.869255,1.4915,0.0,1,41.05,0,1.122,1.263,-0.799,0.084,12.13273414,3.084057397,1.823380372,20.13718479,0,11.03340144,-0.358,2.477,2.03,-0.158,2.653373088
495451,0.675687,1.2308,6.420821623,1,24.39,0,0.622,1.015,-0.484,0.13,30.33183534,3.390937135,1.354566353,12.96557803,0,0.0,-0.169,2.035,1.432,0.263,1.957918176
32113613,1.122576,2.58692,4.794537184,1,53.33,0,1.51,0.965,0.16,0.156,18.19910121,5.538546618,2.530152752,7.047671983,0,0.0,-0.129,0.6,1.056,-0.325,4.153720244
32230796,1.774459,2.73614,7.047671983,1,60.25,0,1.284,0.875,0.0,-0.037,17.34611923,6.925493334,2.650927049,19.65879546,0,11.03340144,-0.035,1.194,1.097,-0.212,4.232230424
11904640,1.942678,2.5338,0.0,0,49.41,0,1.268,0.813,-0.301,-0.074,12.13273414,5.360105689,2.322001236,18.77689909,0,0.0,-0.048,0.937,1.163,-0.143,3.386941313
171948773,2.602153,3.54064,0.0,1,56.17,0,0.965,0.985,-0.389,0.454,35.89528683,9.190719637,4.78029864,38.4111683,0,0.0,-0.103,0.927,1.3,-0.184,6.983489608
48955399,1.505909,3.1028,16.13383077,0,43.86,0,1.422,1.076,-0.117,0.093,38.11294267,8.864514166,4.586024016,57.64910693,0,0.0,-0.124,0.737,0.918,-0.361,6.818993056
198935,1.687493,3.0409,11.21535881,0,74.25,0,1.43,0.974,-0.133,0.147,24.32689015,8.96042523,4.003387495,31.24610326,0,0.0,-0.085,0.903,1.035,-0.266,6.499367952
36421752,0.675687,2.09714,0.0,0,50.8,0,1.263,0.919,-0.025,-0.007,0.0,3.726326531,1.625180503,29.08404162,0,11.12690298,-0.097,0.75,0.847,-0.21,2.362272616
139117,2.596224,3.7721,20.74675894,1,49.85,0,1.156,0.985,-0.109,0.256,54.59730362,9.227138085,5.010140759,33.79173874,0,11.12690298,-0.103,1.065,1.055,-0.151,6.728200451
50897890,2.132051,5.7788,19.51033443,0,98.45,0,0.791,0.842,0.014,0.014,6.066367068,10.55452476,5.477116911,53.21647724,0,21.11954557,-0.071,0.721,0.855,-0.008,8.597299283
82738853,0.675687,1.24,6.544756406,0,90.0,0,1.313,1.018,-0.278,-0.032,12.13273414,5.917252509,2.487595257,24.50189504,0,11.3345635,-0.111,0.997,1.72,-0.118,3.637340057
49144354,0.675687,2.41086,6.544756406,0,63.83,0,0.986,0.887,0.073,0.041,11.62981856,5.255033598,2.52385036,16.6436037,0,22.29078092,-0.039,1.114,0.849,-0.087,3.491150658
177415853,0.675687,1.7479,7.047671983,0,61.94,0,1.305,1.09,0.069,-0.111,12.13273414,5.046701214,2.359741726,7.047671983,0,11.03340144,-0.179,0.711,0.904,-0.098,3.561236407
50283346,1.884824,6.72978,14.38361155,0,87.03,0,0.723,0.586,-0.148,0.022,60.11528503,8.353867723,10.18632569,29.21054944,0,0.0,0.005,1.156,1.074,-0.061,12.6215316
49920352,0.675687,1.35202,11.28161936,1,47.28,0,1.05,1.126,-0.44,0.23,12.13273414,4.634242594,1.882245697,7.109797541,0,11.03340144,-0.211,1.284,1.491,-0.153,2.597786766
171790267,1.821592,3.5338,0.0,0,85.03,0,0.962,0.849,0.069,-0.044,11.22303033,9.176812496,3.539316692,37.20652006,0,11.32369891,-0.06,1.114,0.956,-0.093,5.281361248
49132706,0.675687,1.2314,17.51559211,0,69.3,0,0.966,1.077,-0.059,-0.063,0.0,5.951803151,2.668690049,38.16329874,0,0.0,-0.118,1.494,0.784,-0.136,3.956974539
56766469,0.675687,2.2806,4.736862954,1,78.27,0,1.132,1.077,0.133,-0.12,0.0,7.234928801,2.503097131,31.67381814,0,0.0,-0.2,1.612,0.828,0.024,3.71507392
313513564,0.894224,7.5209,10.9708357,0,40.54,1,0.547,0.645,-0.11,-0.054,43.32193961,10.42848166,4.831921585,0.0,1,11.12690298,-0.004,0.834,0.696,0.118,7.134710255
1204487,2.362199,4.78464,32.88822555,0,85.24,0,1.046,1.4,-0.372,-0.108,35.39237126,7.743346953,4.427456343,16.76753848,0,10.90292493,0.213,0.906,1.252,0.097,9.27991125
393408,2.357611,4.0685,17.76011521,0,45.23,0,1.016,0.847,-0.1,0.039,42.46456948,8.756934994,4.355619339,32.53087194,0,11.12690298,-0.048,1.287,1.01,-0.128,5.952345343
49946792,0.675687,1.50054,13.59242839,0,55.63,0,1.339,1.012,-0.07,-0.021,0.0,3.976796906,1.35309352,11.92481918,0,0.0,-0.146,0.973,0.611,-0.081,3.19089227
3566194,0.675687,3.31236,11.21535881,0,81.16,0,1.121,0.886,-0.357,-0.056,5.156663257,5.632221885,2.441218158,24.59539659,0,11.09972086,-0.043,1.005,2.161,0.064,3.561535505
43648627,1.017033,2.3847,13.59242839,0,49.05,0,0.793,1.038,-0.221,-0.026,12.13273414,5.590551093,2.412924581,13.24451555,0,11.03340144,-0.126,0.735,1.092,0.099,3.412013172
30186397,1.323829,1.74602,11.84220917,1,56.15,0,1.492,0.98,-0.241,-0.196,12.13273414,5.354349978,1.514676969,19.31088262,0,0.0,-0.135,1.146,1.467,-0.346,2.340570144
49081113,1.994031,3.46,16.75428406,1,58.37,0,0.884,0.994,0.101,-0.022,20.7712116,5.6812124,2.511394297,18.3805685,0,0.0,-0.116,0.648,1.101,-0.022,3.801043677
48875382,1.764872,3.24814,6.544756406,0,99.08,0,0.969,1.036,-0.173,0.028,23.44180853,7.895925515,3.121939385,29.94141175,0,11.03340144,-0.027,0.931,1.132,0.147,4.776832717
32007466,0.987934,2.30044,11.33929359,0,59.81,0,1.025,0.887,-0.078,-0.051,12.48718869,5.675616837,2.511326528,24.35343402,0,5.817862778,-0.039,1.218,1.078,-0.07,3.978433488
49968150,1.645746,2.46062,6.544756406,0,80.82,0,0.983,1.191,-0.238,0.126,6.066367068,6.393118524,2.261885994,49.50670566,0,11.38785599,-0.296,1.575,1.224,-0.082,3.437668407
49863827,1.543708,3.7923,0.0,0,90.88,0,0.832,0.966,0.123,0.145,18.19910121,7.520283112,3.799715788,12.1082079,0,22.29078092,-0.102,1.203,0.94,0.015,5.241529993
177407455,1.819024,4.09,0.0,0,48.99,0,0.938,0.764,0.321,0.042,18.57286184,8.055650246,2.715051626,13.08951281,0,0.0,-0.034,1.228,0.674,0.002,3.920489282
313548577,1.034949,2.90752,0.0,0,34.03,0,1.173,0.896,-0.639,-0.115,17.66730696,3.504476406,2.525033561,22.99545476,0,10.90292493,-0.007,0.78,2.249,-0.274,3.829669098
48758078,0.961469,1.22328,12.84164325,1,56.05,0,1.28,1.099,-0.077,0.165,13.8474744,5.535651948,2.45594545,19.13135364,0,0.0,-0.131,0.856,1.143,-0.086,3.831513151
6630605,1.61656,3.71182,17.51559211,0,63.05,0,0.92,0.758,-0.028,-0.076,35.04230486,8.662210789,3.87544374,19.63426922,0,11.03340144,-0.025,0.882,1.007,-0.029,5.678851035
44408338,0.675687,0.15752,10.02329115,0,86.63,0,1.52,1.168,-0.257,-0.061,18.19910121,4.968365046,2.209343923,0.0,0,0.0,0.178,0.629,0.958,-0.139,4.919688064
424596,2.429718,3.6125,15.95222176,1,51.22,0,1.483,0.903,0.021,0.194,24.26546827,7.787977276,3.513649853,31.6492919,0,11.12690298,-0.091,1.027,0.939,-0.377,4.888875356
351738,0.847696,3.5863,4.794537184,0,77.68,0,0.982,1.039,-0.229,-0.088,20.7712116,7.25308642,3.689547617,35.87500061,0,10.90292493,-0.164,0.947,0.916,-0.137,5.190991109
53882535,0.675687,0.9212,12.96557803,0,66.71,0,1.231,1.08,0.124,-0.05,0.0,5.156303555,2.508165292,25.70717801,0,5.647177221,-0.137,1.288,0.961,-0.268,3.548401512
153321,0.771587,2.1843,6.544756406,0,44.81,0,1.704,0.956,-0.675,0.519,0.0,5.3115058,2.632328088,31.05319317,0,0.0,-0.004,1.518,1.541,-0.697,3.683670162
35771333,1.055149,3.594,0.0,0,72.63,0,1.024,0.86,-0.08,0.088,12.84164325,7.834576331,2.945229712,24.2164158,0,0.0,-0.087,1.153,0.816,0.008,4.369078843
8296397,0.675687,1.3813,6.544756406,0,46.33,0,1.602,0.868,-0.296,0.164,12.13273414,4.446489456,1.934127009,25.19772071,0,0.0,-0.088,0.467,1.151,-0.388,2.802910659
48247754,0.675687,2.4753,0.0,0,56.13,0,1.383,0.743,-0.449,0.027,21.99631097,6.86834087,2.338239748,29.16752465,0,0.0,-0.002,0.744,1.397,-0.222,4.50547299
48312238,0.675687,0.9658,4.794537184,1,58.64,0,0.978,0.845,-0.043,-0.06,5.920434319,5.914939608,1.780968975,18.52902952,0,0.0,-0.083,1.113,0.904,0.007,2.748594101
11880948,0.675687,3.5768,0.0,1,44.29,0,1.294,1.158,0.052,0.192,6.9237372,6.745753881,3.104268257,37.55379817,0,10.21662063,-0.088,1.315,0.991,-0.209,5.397176112
49383433,0.845904,2.34804,14.76015411,1,127.58,0,0.854,1.228,-0.12,-0.225,12.13273414,7.426354588,2.584470468,5.563451492,0,16.90455671,0.183,0.716,0.966,-0.027,4.457840467
323421591,1.40973,5.67762,0.0,0,41.99,0,1.212,0.728,0.214,-0.145,53.53371512,6.705375388,2.186498935,21.29610439,0,11.25737949,-0.041,0.806,1.04,-0.027,4.513976027
1527366,2.518488,2.956,13.08951281,0,26.71,0,1.17,1.155,-0.301,0.543,48.53093655,7.814027439,2.282491107,31.74247712,0,0.0,-0.133,1.245,1.187,-0.336,3.498014506
43664822,0.675687,2.77042,6.544756406,0,72.94,0,1.417,1.068,-0.012,0.18,31.04074445,5.777815483,3.586411748,17.12199304,0,10.90292493,-0.159,1.286,0.889,-0.358,4.840619263
6555313,2.288038,4.8601,16.56804756,0,88.16,0,1.06,1.168,-0.161,-0.095,37.46156607,10.06024562,4.027636999,30.18928132,0,0.0,0.276,0.49,1.09,0.005,7.278184945
49976216,0.767601,1.80202,11.21535881,0,54.88,0,0.988,0.886,-0.23,-0.225,0.0,5.05343391,1.445441146,30.38487339,0,11.25737949,-0.108,0.612,1.111,-0.171,3.161910044
300639225,0.675687,0.53358,13.59242839,1,97.05,0,0.794,1.026,-0.037,0.004,0.0,7.136098421,3.25972172,32.24539269,0,0.0,-0.117,1.076,1.007,0.126,4.675573183
53744421,1.948222,3.135,4.794537184,0,64.68,0,1.086,0.808,-0.276,-0.02,21.99631097,8.96213091,4.515557325,41.39966733,0,0.0,-0.002,1.288,1.45,-0.063,6.684793692
44398457,0.675687,0.967,4.794537184,1,61.36,0,1.313,1.376,-0.406,0.046,6.9237372,6.468959389,2.006070301,32.59984725,0,0.0,-0.362,1.256,1.222,-0.195,3.185147858
31246617,2.052682,2.0045,28.97547402,0,52.65,0,1.318,0.988,0.043,0.189,54.59730362,7.758563746,4.452453373,45.44149049,0,0.0,-0.104,1.239,0.941,-0.281,6.075424144
232863503,0.675687,2.38492,0.0,0,44.29,0,1.591,1.432,0.023,0.014,6.9237372,7.592188673,2.950372787,32.40039543,0,0.0,-0.403,1.271,0.782,-0.283,4.358664417
72973086,1.372949,3.8609,6.420821623,1,108.74,0,0.797,1.05,-0.085,0.015,11.60093989,8.491822031,2.940897963,36.38612489,0,11.25737949,-0.023,0.776,1.061,0.095,4.846694338
310102,1.720969,2.1662,0.0,1,49.25,0,0.859,0.938,-0.299,0.418,6.066367068,5.036606732,2.12816005,19.28635638,0,10.57107519,-0.098,1.917,1.26,0.09,4.056185113
55623512,0.675687,0.95922,20.68908471,1,67.79,0,1.163,0.896,-0.133,-0.06,6.066367068,8.216528163,2.533718287,6.606881965,0,0.0,-0.109,0.578,1.014,-0.127,3.729340451
49979686,1.99596,2.1086,5.601050811,1,60.15,0,1.015,0.827,-0.573,0.13,12.13273414,4.829191081,2.599494705,6.196843572,0,0.0,-0.051,0.998,1.683,-0.19,3.837071075
30497416,0.675687,-1.4937,4.736862954,1,94.31,0,1.116,0.901,-0.521,-0.005,11.76188495,4.886589848,1.849437591,6.544756406,0,0.0,-0.161,0.409,1.532,-0.14,3.807337905
50500445,1.604539,4.3407,0.0,0,96.95,0,1.169,0.844,-0.063,0.272,67.27798057,8.859129518,2.862434094,5.24993803,0,10.34709714,-0.112,0.539,0.857,-0.21,6.01779559
29911609,1.952298,3.4773,6.544756406,0,64.28,0,1.174,1.013,-0.276,0.273,35.4884986,7.025286952,3.234094163,24.37141854,0,11.38785599,-0.054,1.525,1.212,-0.291,4.522628288
46339059,1.506072,4.2526,9.531400138,1,97.4,0,0.942,1.074,0.01,-0.359,12.64530275,10.69811773,2.526173173,24.17195637,0,0.0,-0.158,1.065,0.904,-0.092,3.988992674
13187858,1.548144,3.41269,4.736862954,1,69.28,0,1.664,0.807,0.121,-0.038,22.93772577,7.003339997,2.474593963,23.86165796,0,5.687386275,-0.064,0.656,1.06,-0.552,5.291226112
324038090,0.675687,2.53586,12.58659724,0,113.41,0,1.087,0.889,0.323,0.096,0.0,6.280188226,4.044939329,30.56826211,0,28.03145969,0.04,0.887,0.62,-0.298,5.575814982
227979416,2.25594,5.2467,0.0,1,59.97,0,0.997,0.905,0.117,-0.065,11.60093989,9.506394998,4.090722085,29.71743845,0,0.0,-0.022,1.061,0.978,-0.233,5.737079943
44559745,1.826204,3.51232,4.794537184,1,71.01,0,1.458,1.074,-0.045,0.153,19.26246487,8.671767345,4.280752093,54.76669339,0,11.38785599,-0.164,0.811,0.948,-0.404,5.920510407
1311623,2.286791,4.1382,13.08951281,0,21.26,0,1.166,0.96,-0.011,-0.108,54.59730362,6.42010575,2.531535132,13.08951281,0,10.77244843,-0.077,1.13,1.097,-0.017,3.683564644
147155,2.32951,4.34934,11.21535881,0,85.08,0,1.052,0.703,0.138,0.002,12.13273414,10.51203857,4.39252612,24.57741207,0,0.0,-0.021,1.004,0.829,-0.194,6.317394438
30448845,1.746712,3.4867,24.30487162,0,61.88,0,1.344,1.004,0.175,0.126,42.46456948,7.376534035,5.036997116,26.05509084,0,0.0,-0.121,0.94,0.923,-0.237,6.672529237
13656111,0.675687,0.1662,11.28161936,1,89.35,0,1.204,1.141,-0.271,0.006,18.19910121,6.571732568,2.456765916,32.43145303,0,0.0,-0.223,0.859,1.37,-0.035,3.591914081
82741701,1.809883,1.60134,24.18093684,0,72.7,0,1.043,1.019,0.224,0.118,6.9237372,7.678560905,2.553660301,37.25003674,0,0.0,-0.114,1.601,1.316,-0.038,3.75553316
EN300-97039,2.7565,4.2173,4.794537184,0,99.16,0,0.848,0.985,0.121,0.143,24.77803689,8.738936643,4.241172498,18.6529643,0,22.29078092,-0.111,1.191,0.79,-0.019,5.853475237
48229341,1.896846,3.0736,19.51033443,0,68.52,0,1.061,1.041,-0.018,0.322,36.75265697,6.781076024,3.029116361,24.72587309,0,11.38785599,-0.111,1.007,1.053,-0.041,4.301297491
29983738,0.675687,1.8165,11.21535881,0,46.33,0,1.086,0.853,-0.418,0.307,30.33183534,6.54716338,2.669081315,0.0,0,0.0,-0.073,1.374,1.221,-0.175,3.77068027
13484208,1.562138,2.78844,30.72569324,0,64.16,0,1.01,1.01,0.04,0.141,12.13273414,6.022862962,3.451165757,30.96292572,0,10.96924436,-0.119,1.841,1.493,0.064,5.173845685
43133305,1.006894,2.97482,17.88850132,0,47.48,0,1.261,1.212,-0.225,0.111,12.13273414,8.21709301,2.991336899,44.70120539,0,0.0,-0.223,0.759,1.114,-0.314,4.265299494
197915,0.73472,2.72542,4.794537184,0,74.25,0,1.226,1.208,0.02,0.095,0.0,8.645663066,4.18542923,55.02110467,0,0.0,-0.239,0.858,0.826,-0.099,5.55023458
901477,2.572145,5.98642,10.15185342,1,80.65,0,0.82,1.026,-0.035,0.034,62.7328655,11.471317,4.605084916,41.88807518,0,16.4598347,-0.116,1.481,1.225,0.24,6.898977272
222755758,0.910571,2.33472,6.420821623,1,49.25,0,1.365,1.159,-0.206,0.39,13.34455882,6.137768119,1.806415428,25.35272345,0,0.0,-0.198,1.411,1.002,-0.407,2.902065016
320368312,1.479503,4.3978,4.794537184,0,83.98,0,0.894,0.843,-0.147,-0.154,23.73367403,7.779508326,2.783671936,34.46112949,0,11.12690298,-0.009,0.641,1.112,0.081,4.69801215
15967580,0.675687,2.29664,0.0,0,96.59,1,0.993,0.862,-0.261,-0.112,6.066367068,5.525113484,2.359032693,17.07524226,1,5.647177221,-0.063,0.861,1.384,0.093,3.389963621
48760182,0.675687,1.85862,11.21535881,0,62.3,0,1.43,0.892,0.293,0.039,12.84164325,4.594064459,2.939616567,24.03956879,0,0.0,-0.103,1.037,0.728,-0.116,4.926502129
49307185,0.983536,2.43182,4.794537184,0,45.23,0,1.437,1.088,0.032,-0.027,18.19910121,5.363479956,1.882898587,11.08015221,0,10.90292493,-0.165,0.726,1.143,-0.245,3.25615896
324059015,0.99638,4.0908,18.32210573,0,100.27,0,0.872,0.791,0.392,-0.057,6.066367068,8.176198856,3.140494973,29.37866196,0,10.90292493,-0.033,0.764,0.592,-0.037,4.823320512
158121,2.751298,2.8768,30.47782368,1,98.41,0,1.065,0.939,-0.01,0.071,6.066367068,10.10635665,4.92084103,25.70717801,0,0.0,-0.113,1.415,1.083,-0.098,6.69250009
11843268,1.86166,3.3677,11.33929359,1,43.86,0,1.12,0.926,-0.198,0.155,41.56192605,7.760913788,3.35747075,59.98468337,0,10.08614413,-0.099,1.249,1.038,-0.17,7.455923742
11844078,1.930103,3.434,5.752853607,0,42.24,0,1.727,0.822,0.248,0.064,18.19910121,5.481743928,1.897585164,22.74437014,0,10.96924436,-0.099,0.956,1.002,-0.592,3.190310973
32449297,2.244969,3.8132,11.33929359,0,32.78,0,0.91,0.939,-0.369,0.027,24.26546827,7.917215237,4.954901782,38.01483772,0,0.0,-0.08,1.093,1.292,-0.054,6.190171489
2146397,1.325167,3.9389,10.02329115,0,117.99,0,0.867,0.96,-0.422,-0.271,24.26546827,6.781628132,2.780581774,23.3835719,0,22.42125742,0.248,0.5,1.304,0.127,5.53263874
342116,2.123371,3.639,17.82637577,1,30.93,0,1.159,1.118,-0.501,0.233,30.33183534,7.062378141,3.848271576,38.03936396,0,0.0,-0.162,1.088,1.487,-0.231,5.149147683
18815715,0.675687,2.3364,6.544756406,0,59.81,0,0.916,0.993,0.148,-0.246,12.13273414,6.172602309,1.954403266,25.13528712,0,5.817862778,-0.102,0.866,0.856,-0.036,3.145328638
415550,1.523226,3.01182,4.736862954,1,73.07,0,0.899,1.049,0.381,-0.187,19.00413766,7.171193381,2.017355094,32.52464655,0,11.32369891,-0.096,0.889,0.538,0.093,3.06689069
44505466,1.442182,1.7681,9.589074368,0,52.65,0,1.38,1.047,-0.098,0.01,6.9237372,6.795189695,4.232240228,39.14460365,0,0.0,-0.139,1.287,1.075,-0.228,5.83349312
177377491,1.526804,2.42464,15.95222176,1,67.01,0,0.94,0.842,0.3,0.037,12.84164325,8.172870709,2.704192506,31.68720961,0,0.0,-0.061,1.602,1.46,0.049,4.24183633
362026,0.675687,1.2238,9.589074368,0,49.41,0,1.205,0.888,0.646,-0.009,18.91766335,4.747079654,2.824226748,24.07760781,0,0.0,-0.088,1.347,0.482,-0.115,4.139584087
82736647,0.675687,3.7719,0.0,0,49.41,0,0.924,0.858,-0.1,0.105,36.39820241,8.765983385,3.482692386,17.67165939,0,11.12690298,-0.063,1.244,1.109,0.059,4.877482389
44195804,0.675687,0.9272,17.63618043,0,56.79,0,0.947,1.106,0.438,-0.219,0.0,5.162233276,2.260693086,12.1082079,0,0.0,-0.246,2.888,1.039,-0.053,3.073391196
324071116,0.675687,3.77198,10.02329115,0,85.75,0,1.216,1.009,-0.048,-0.213,11.60093989,5.777815483,2.204600143,28.18876889,0,10.90292493,0.028,1.023,1.13,-0.154,4.957386019
181775,1.650774,3.94732,6.544756406,0,74.5,0,1.45,1.138,-0.052,-0.125,11.60093989,8.23944222,3.958649802,49.22353287,0,10.96924436,-0.032,1.195,1.122,-0.377,5.738337611
45769048,1.121494,2.7195,4.736862954,1,62.99,0,1.2,0.908,-0.345,-0.075,15.9299439,5.99954982,2.308790918,29.99612852,0,10.96924436,-0.007,1.259,1.539,-0.321,4.079346959
30020148,0.675687,2.08218,4.794537184,1,52.89,0,1.715,0.724,0.555,0.103,25.68328649,7.582042933,1.882412793,6.041840829,0,0.0,-0.11,0.382,0.84,-0.572,3.419588148
