ID,activity,rdMD_123,rdMD_4,rdMD_73,rdMD_309,rdMD_2,rdMD_16,rdMD_68,rdMD_266,rdMD_70,rdMD_64,rdMD_67,rdMD_314,rdMD_303,rdMD_225,rdMD_18,rdMD_1,rdMD_238,rdMD_177,rdMD_74,rdMD_272
CHEMBL1917456,0.572871602,3.85152,0,5.693927995,0.832,0.166666667,0,44.18384754,-0.018,30.3164985,10.97786405,11.49902367,1.009,0.805,0.029,-2.71,97.63,0.071,2.475,42.46456948,0.667
CHEMBL2087421,1.763353109,1.18754,2,23.96854623,0.701,0.708333333,2,15.93047088,0.107,119.603963,80.23220028,5.749511833,0.851,0.681,0.095,-1.72,82.63,0.084,1.112,17.02821761,0.734
CHEMBL2335881,1.012837225,4.1714,0,5.563451492,1.217,0.173913043,0,22.53865049,0.066,35.21337147,25.57822452,11.12690298,0.763,1.069,-0.18,-3.35,71.96,0.124,0.112,73.18783433,0.959
CHEMBL1951074,1.489677292,2.6048,1,18.90801031,0.877,0.333333333,0,44.69767932,-0.084,51.41225887,30.38635608,11.49902367,0.922,0.977,0.03,-3.05,117.2,0.127,3.25,41.29368589,1.311
CHEMBL2331753,0.1430148,3.38752,1,30.01038706,0.817,0.304347826,1,10.02329115,-0.224,40.47013135,13.08951281,17.2485355,1.039,0.921,0.009,-3.58,121.7,0.277,2.447,63.14597089,1.17
CHEMBL914,1.568905415,5.5105,1,67.88853325,0.423,0.40625,1,5.969305288,0.02,45.82306642,19.63426922,0.0,0.829,1.031,0.076,-2.99,81.0,0.1,0.242,84.92913896,1.112
CHEMBL2048868,0.922206277,1.9466,2,18.40509474,0.678,0.375,2,34.67168277,-0.087,37.38754262,25.09922008,5.749511833,0.977,0.897,-0.038,-1.99,84.66,0.087,1.045,23.10423772,0.749
CHEMBL539163,0.252853031,3.52588,1,25.10485389,0.81,0.25,0,23.07982216,0.287,9.741662091,5.316788604,17.3266008,0.696,0.659,-0.078,-2.32,49.98,0.062,0.656,30.33183534,1.35
CHEMBL1689133,0.408239965,4.1207,1,24.97437738,0.673,0.391304348,1,35.0783648,-0.266,58.56290831,19.63426922,5.749511833,1.206,0.846,0.053,-2.28,70.08,-0.012,1.653,42.46456948,0.628
CHEMBL2170994,0.922206277,1.6261,1,12.64872279,0.789,0.4,1,52.06306634,-0.173,72.1255673,29.1009197,0.0,1.122,1.084,0.016,-2.64,160.44,-0.005,1.348,36.92010842,0.875
CHEMBL239336,0.428134794,3.3329,1,23.40617671,0.778,0.235294118,0,29.04889068,0.398,17.7121048,0.0,0.0,0.881,1.274,0.204,-2.47,67.76,0.301,1.695,52.83703698,1.126
CHEMBL1981917,0.754348336,3.72777,1,5.563451492,0.691,0.0,0,23.28489101,0.238,5.835619786,5.316788604,0.0,0.805,1.044,0.047,-1.81,35.88,-0.044,0.417,52.25553643,1.092
CHEMBL1818303,0.1430148,5.7114,1,76.07495164,0.669,0.666666667,1,28.72120751,-0.295,75.31031601,58.32591769,0.0,1.388,1.299,-0.08,-2.87,86.8,0.364,0.377,30.33183534,1.17
CHEMBL49,1.349860082,2.0882,2,51.36657298,0.387,0.714285714,2,17.76269874,-0.094,70.8506744,44.16844817,0.0,0.818,0.996,-0.059,-2.02,69.64,0.195,0.197,18.46005421,1.552
CHEMBL2151325,1.118925753,2.5516,0,18.65950602,0.823,0.222222222,0,22.79960349,-0.283,48.03669015,18.53055253,5.879988336,1.181,0.829,-0.043,-3.6,113.77,-0.138,0.604,36.78963192,0.82
CHEMBL1917448,-0.200659451,3.18414,0,11.25737949,0.758,0.210526316,0,26.70948336,-0.183,31.17052686,7.109797541,5.749511833,1.257,0.861,-0.159,-2.8,85.6,0.1,1.75,52.25553643,1.322
CHEMBL41,0.631443769,4.435,0,23.65169099,0.941,0.294117647,0,0.0,0.121,13.59242839,13.59242839,5.749511833,0.485,0.898,-0.055,-2.01,21.26,0.442,0.414,54.59730362,1.017
140075,-0.1837587,5.2349,2,52.01794958,0.466,0.538461538,2,23.15114534,-0.009,47.79320454,26.17902562,10.44059869,0.941,1.354,0.02,-2.14,40.62,0.175,0.528,41.77826518,0.701
CHEMBL461572,-0.698970004,4.9545,0,20.71597735,1.214,0.0,0,57.04149337,-0.343,16.79833798,10.63357721,0.0,1.176,1.108,-0.032,-2.41,71.09,0.034,2.941,54.17195232,0.931
CHEMBL456237,-1.22184875,6.702,0,11.12690298,0.837,0.095238095,0,22.50386482,-0.322,9.780484743,0.0,11.25737949,1.075,0.895,-0.003,-2.93,17.82,0.225,1.844,60.66367068,0.784
CHEMBL1088029,1.012837225,3.09592,0,23.66712972,0.955,0.266666667,0,28.23454642,-0.113,32.02969015,17.74337475,5.879988336,0.971,0.953,-0.1,-2.88,97.74,-0.005,0.851,24.65689778,0.779
CHEMBL375293,1.144574208,3.3322,0,0.0,1.143,0.0,0,11.63572556,-0.029,24.9198926,5.316788604,22.7115549,0.947,1.138,0.242,-3.61,89.62,-0.004,0.265,72.12684364,1.245
CHEMBL2164850,0.457881897,3.6606,0,24.09902273,0.85,0.185185185,0,11.594566,0.006,26.90095612,5.316788604,11.12690298,1.237,0.806,-0.08,-4.1,99.77,0.058,0.371,96.31194922,1.205
CHEMBL1957841,0.487138375,2.5341,1,5.563451492,0.64,0.238095238,1,22.36796493,-0.233,40.25504952,31.20318647,0.0,1.212,1.146,-0.164,-3.12,51.77,0.151,0.213,65.71916087,0.641
CHEMBL212432,1.395850376,0.30347,0,28.89355992,0.786,0.368421053,0,35.10339974,-0.329,57.91023285,31.22585529,5.749511833,1.434,0.829,0.125,-3.15,192.49,-0.043,0.906,24.26546827,0.885
LN00198968,-0.580044252,5.9961,0,30.0349133,0.526,0.230769231,0,11.14620906,0.108,32.14689207,27.24698234,5.749511833,0.826,0.26,0.015,-2.84,12.47,-0.047,0.025,84.92913896,0.872
CHEMBL1916271,0.113943352,5.1229,0,49.38583399,0.727,0.296296296,0,21.74833366,0.08,46.57594694,11.26685127,17.01108519,1.128,1.293,-0.015,-3.92,110.33,0.19,1.672,82.69726467,1.449
CHEMBL88712,-0.823908741,5.1722,0,42.85857202,0.629,0.304347826,0,16.87223022,-0.05,16.0598112,0.0,5.749511833,0.857,0.997,-0.28,-2.88,59.42,0.125,0.187,60.66367068,1.407
CHEMBL1940832,1.454387467,2.9717,0,28.89828725,0.781,0.24,0,17.78486786,-0.053,41.36394671,30.26784643,5.749511833,1.064,0.937,-0.024,-3.39,113.85,-0.017,0.34,72.79640482,1.314
CHEMBL2207662,1.048441804,3.3346,1,28.76308341,0.808,0.428571429,1,29.10905951,0.016,59.28455378,26.17902562,5.749511833,0.836,0.954,0.067,-2.27,94.66,0.19,2.06,35.25684903,0.672
CHEMBL1800526,0.611723308,2.9092,0,11.51833249,1.1,0.214285714,0,27.09382184,-0.177,27.04571163,7.109797541,5.749511833,1.157,1.129,-0.051,-1.95,63.69,-0.137,3.924,35.06550786,0.941
CHEMBL2165175,-0.602059991,3.90562,0,11.25737949,1.022,0.095238095,0,16.72078771,-0.1,14.95193556,5.316788604,11.25737949,1.244,1.027,-0.263,-3.47,70.67,0.288,0.136,71.65505144,0.918
CHEMBL2177919,1.278524965,3.30062,1,27.81725746,0.713,0.12,0,5.835619786,0.073,20.37067648,0.0,11.12690298,0.877,0.989,-0.069,-4.13,86.16,0.077,0.311,83.23572925,0.774
CHEMBL1890087,-0.537602002,4.1237,0,19.41092589,0.901,0.25,0,33.31960857,-0.55,16.00979787,10.63357721,0.0,1.434,1.765,0.015,-2.14,49.84,0.394,0.476,41.77826518,0.865
CHEMBL1689119,0.437750563,2.6984,1,12.48718869,0.714,0.35,1,27.59353633,-0.228,60.9817474,26.24115118,5.749511833,1.075,0.941,0.067,-2.13,87.15,0.106,1.688,53.42642002,0.742
270775,1.277998644,4.2585,2,48.02554828,0.588,0.346153846,2,22.71728439,-0.204,39.8237702,0.0,0.0,1.163,1.02,0.116,-3.28,62.3,0.026,0.434,60.79414719,1.069
CHEMBL572016,0.592176757,5.01304,0,27.43977266,0.884,0.166666667,0,23.19550589,-0.31,20.85911529,5.316788604,11.38785599,1.055,0.739,-0.113,-2.87,70.67,0.345,1.66,36.52867891,1.017
CHEMBL2151324,0.707570176,2.9401,0,25.58324322,0.809,0.263157895,0,22.79960349,-0.323,47.53377457,11.92367057,5.879988336,1.239,0.826,-0.039,-3.6,113.77,-0.153,0.613,36.78963192,0.813
CHEMBL481423,0.553883027,4.1445,1,10.35798868,0.821,0.272727273,1,57.07414327,0.133,56.12756313,50.55319348,5.749511833,0.867,1.003,0.038,-2.74,83.72,-0.093,1.469,36.52867891,0.495
CHEMBL1957361,-1.15490196,4.52748,0,12.48718869,0.809,0.086956522,0,10.90292493,0.132,16.57483901,6.606881965,34.20301562,0.835,1.127,-0.117,-3.91,78.77,-0.109,0.149,71.78552794,0.869
CHEMBL1951073,0.447158031,3.1922,1,25.83174751,0.811,0.35,0,27.30524343,-0.048,34.58641263,23.84159968,11.49902367,0.992,1.105,-0.011,-2.74,84.94,0.087,1.662,41.29368589,1.536
36367041,-0.548213564,3.08412,1,16.82083098,0.82,0.304347826,1,17.85032614,-0.11,54.07669485,43.23585983,6.01046484,1.085,1.199,-0.087,-3.52,84.76,0.122,0.288,59.82918765,0.978
CHEMBL81,-0.301029996,6.0752,1,35.18390504,0.631,0.25,1,27.20617496,0.361,47.13736065,26.24115118,27.68913419,0.726,0.733,-0.089,-3.35,70.0,-0.099,1.002,66.73003775,1.767
CHEMBL2312185,1.057285644,3.3652,1,17.67820111,0.907,0.333333333,1,33.79145619,-0.159,48.17863317,48.76018455,16.6402965,1.247,1.111,0.105,-3.22,101.79,0.14,0.667,30.46231185,1.071
CHEMBL2338405,0.716837723,2.6472,1,20.7712116,0.859,0.578947368,1,40.8275603,-0.041,73.0903338,51.13008345,0.0,1.129,0.566,-0.044,-1.54,76.71,0.023,1.277,18.19910121,0.847
CHEMBL452861,1.144574208,2.5775,0,13.8474744,0.76,0.375,0,10.77244843,-0.411,30.40397298,13.15163837,5.749511833,1.363,0.658,-0.274,-1.58,41.49,-0.153,0.104,42.46456948,1.17
CHEMBL2335888,0.281033367,4.4181,0,6.9237372,0.954,0.090909091,0,34.13321649,-0.243,27.90678727,17.26437032,11.12690298,1.025,1.061,-0.128,-3.8,71.01,0.216,0.132,73.18783433,1.007
CHEMBL2335879,-0.091514981,4.6495,1,29.62045354,0.862,0.259259259,1,28.44583022,0.064,51.93805065,25.4539734,11.12690298,0.886,1.094,-0.273,-3.84,83.04,0.197,0.141,73.18783433,1.229
CHEMBL2348651,0.252853031,3.6241,1,24.60193831,0.719,0.347826087,1,39.69863592,-0.181,58.98572263,48.76018455,16.6402965,1.129,1.08,0.103,-3.71,110.07,0.137,0.732,30.46231185,1.041
CHEMBL2062571,1.092720645,2.31398,1,12.48718869,0.927,0.2,1,33.96253093,0.072,44.32794236,23.84734114,11.88708409,0.801,1.123,-0.114,-3.9,109.27,-0.029,0.297,42.72552249,0.661
CHEMBL2337984,1.475671188,1.6037,1,59.29614134,0.638,0.909090909,1,11.81435946,0.035,71.96056786,39.26853844,0.0,0.915,0.356,-0.479,-1.14,64.68,0.061,0.187,0.0,1.915
CHEMBL481595,0.320146286,5.2905,1,29.62045354,0.797,0.333333333,1,57.07414327,0.008,49.07989115,43.92240037,5.749511833,0.965,1.1,-0.028,-2.74,92.51,-0.097,1.798,36.52867891,0.692
CHEMBL1807829,0.773786445,4.1806,0,23.65169099,0.823,0.409090909,0,56.51717124,-0.043,52.88176615,37.68473284,5.749511833,1.171,0.916,-0.049,-1.26,97.38,-0.048,2.771,35.12637253,1.05
202119,-0.04431225,5.112,1,46.91967386,0.682,0.260869565,1,11.85551901,-0.094,27.31980291,12.27842388,11.12690298,0.888,0.848,-0.071,-3.42,72.11,0.484,0.692,60.79414719,0.87
CHEMBL212777,-0.744727495,5.21134,0,11.25737949,0.678,0.142857143,0,39.37609504,0.057,20.62691085,0.0,11.12690298,0.94,0.673,-0.037,-2.85,55.12,0.123,1.05,48.66141305,0.549
CHEMBL2071601,0.075546961,4.9043,0,40.12690324,0.924,0.263157895,0,28.97875084,-0.053,22.65557655,0.0,0.0,0.931,0.943,0.046,-2.94,89.31,0.339,1.939,42.46456948,0.851
CHEMBL235357,0.7355989,4.417,1,61.72456166,0.778,0.695652174,1,17.50811962,-0.169,31.64541533,19.63426922,5.749511833,1.232,1.117,0.082,-1.26,50.36,-0.003,1.024,18.19910121,1.068
CHEMBL2098183,-0.004364805,3.24702,0,11.25737949,0.946,0.2,0,16.81010466,-0.076,24.60783776,13.71667951,11.49902367,1.432,0.953,0.078,-3.08,60.45,-0.063,0.286,54.59730362,1.252
CHEMBL213495,0.23299611,4.42962,0,16.82083098,0.562,0.136363636,0,27.77515515,0.056,20.62691085,0.0,17.1961243,0.882,0.734,-0.184,-3.65,78.91,0.175,0.209,48.66141305,0.651
CHEMBL259850,-0.494850022,2.3816,0,5.563451492,0.993,0.166666667,0,27.50054085,-0.008,23.04820162,12.42658615,5.749511833,1.034,1.244,-0.11,-2.68,106.39,0.217,0.533,30.46231185,0.784
CHEMBL2158827,0.301029996,5.3803,2,31.24673798,0.625,0.48,2,34.85857134,0.013,54.80349083,37.62369176,5.749511833,0.75,1.034,0.073,-1.95,53.01,-0.017,1.482,42.46456948,0.593
CHEMBL495727,1.523616419,2.0691,1,18.40509474,0.825,0.421052632,1,22.75190222,0.381,63.44146247,31.62006534,11.51833249,0.509,0.826,0.149,-2.91,110.96,-0.004,0.273,24.39594478,1.135
CHEMBL1650698,1.349860082,3.062,0,43.24345981,0.85,0.3125,0,17.58406484,0.059,30.1332777,10.63357721,0.0,0.901,0.758,0.055,-3.17,104.3,-0.148,0.365,24.65689778,0.848
CHEMBL2181926,1.170555059,3.70182,1,44.93655376,0.629,0.363636364,0,28.43347959,0.045,24.0711172,6.606881965,0.0,1.034,0.939,-0.2,-3.02,85.94,-0.037,0.483,49.73970497,0.963
CHEMBL1240967,-0.27572413,4.6395,0,42.20524675,0.909,0.264705882,0,21.61785716,-0.003,47.98400974,17.52262045,22.62592665,1.019,0.83,-0.053,-4.38,147.99,0.121,1.149,90.99550603,0.99
CHEMBL1923433,0.46686762,3.18342,1,38.6957208,0.687,0.4,1,51.54670916,-0.152,46.0823231,17.98942254,0.0,1.047,1.101,0.017,-1.77,98.32,0.015,2.423,6.196843572,0.852
CHEMBL113,1.878234469,-1.0293,0,0.0,0.549,0.375,0,11.16387794,-1.871,18.68527746,0.0,0.0,4.409,1.13,0.01,-1.85,61.82,0.316,0.105,15.91639444,0.967
36987396,0.986009932,2.1385,1,27.30929616,0.713,0.307692308,0,23.3259824,-0.372,27.63327827,11.44466614,0.0,1.228,0.838,-0.086,-2.29,87.9,0.329,1.839,12.26321064,1.405
CHEMBL2179269,0.193124598,4.38702,1,53.33395376,0.739,0.32,1,17.57024518,-0.092,38.61633339,13.08951281,11.49902367,0.958,1.147,0.011,-3.36,104.63,0.114,0.972,58.25048742,0.614
CHEMBL521096,0.754348336,3.67532,1,22.84517737,0.706,0.333333333,1,33.87226349,0.147,55.62464755,50.05027791,5.749511833,0.858,0.913,-0.105,-3.39,83.72,-0.095,0.421,36.52867891,0.944
CHEMBL2216859,0.477121255,4.8922,1,19.60772182,0.696,0.307692308,1,21.80584986,0.051,62.18600657,26.17902562,22.5810784,0.893,0.652,0.114,-3.42,76.98,-0.078,0.264,59.40588406,1.297
72972951,0.975868182,3.3126,1,41.98961445,0.646,0.192307692,1,28.96678573,0.14,42.61165576,17.59521249,23.09824812,0.768,0.982,0.027,-4.71,118.51,0.096,0.305,61.05510019,1.301
1447149,0.731266349,3.18518,1,31.89811458,0.508,0.352941176,0,11.76188495,0.165,15.30393178,5.752853607,17.3266008,1.02,1.136,-0.138,-2.06,58.68,0.241,0.804,34.21644194,0.888
CHEMBL1778636,-0.124938737,3.34208,0,5.563451492,0.884,0.066666667,0,17.57024518,-0.059,17.68271465,6.606881965,22.94563613,1.058,0.647,-0.005,-2.51,70.32,0.081,1.433,42.46456948,0.816
CHEMBL440405,0.113943352,3.24418,0,23.96854623,0.876,0.2,0,26.83339581,-0.129,25.56472442,6.255769184,17.3266008,0.94,0.892,0.023,-3.18,102.82,0.155,0.837,42.46456948,0.418
CHEMBL195309,0.838849091,3.86542,1,24.22949924,0.64,0.272727273,1,17.66906468,0.041,28.67202183,13.21376393,5.687386275,0.875,0.704,-0.047,-2.57,70.14,0.055,1.013,70.71559064,1.032
CHEMBL2158841,1.057285644,5.3836,2,31.24673798,0.616,0.5,2,29.17118507,-0.011,65.74524139,32.72378203,5.749511833,0.877,0.863,0.055,-1.86,53.01,-0.054,1.79,42.46456948,0.588
CHEMBL2164564,1.039414119,2.6068,1,23.19963192,0.609,0.3,1,11.42388045,0.386,51.8309733,20.26143591,17.00689132,0.674,1.128,0.137,-2.86,67.07,-0.054,0.329,48.66141305,1.076
CHEMBL2057371,1.516931809,1.612,1,33.61285484,0.874,0.409090909,1,33.5571019,0.115,70.01123217,24.95105782,11.12690298,0.739,1.067,-0.061,-3.58,150.69,0.254,0.942,41.6851154,0.817
CHEMBL257991,-0.004364805,3.6635,1,16.18239317,0.826,0.2,1,38.92562624,0.204,56.33874525,31.49581423,11.25737949,0.902,0.837,-0.138,-3.66,87.45,-0.017,1.023,66.30468646,0.719
CHEMBL190,1.750508395,-1.0397,0,0.0,0.588,0.285714286,0,11.16387794,0.0,19.10215634,0.0,0.0,0.0,1.157,-0.378,-1.85,72.68,0.293,0.079,15.91639444,0.794
CHEMBL1779503,0.399673721,1.5467,0,15.92144017,0.984,0.111111111,0,17.50811962,-0.213,27.2163994,6.544756406,5.687386275,1.293,1.02,-0.02,-3.19,96.85,0.153,0.739,64.31685449,1.038
CHEMBL392559,0.985875357,3.8323,2,60.86719153,0.727,0.708333333,2,17.50811962,-0.031,42.52504034,19.63426922,0.0,1.108,0.941,-0.075,-1.1,44.37,0.053,0.708,18.19910121,1.059
CHEMBL2048864,0.894316063,2.0735,2,5.563451492,0.826,0.285714286,2,46.27262266,0.075,37.32541707,31.07893535,0.0,0.862,0.765,-0.143,-1.5,61.44,0.092,2.845,23.10423772,1.255
CHEMBL451,0.359835482,3.1415,1,11.12690298,0.832,0.125,0,28.83563095,0.125,29.87856703,18.90921699,0.0,0.809,1.023,0.012,-2.33,50.46,-0.082,0.88,53.52334128,0.642
CHEMBL2011895,1.048441804,4.2938,1,19.26246487,0.874,0.4,1,32.78120811,0.186,53.14066846,38.60561177,17.13736782,0.823,1.08,-0.022,-2.12,66.07,-0.133,3.04,34.93503136,1.153
CHEMBL83597,1.136086097,3.8514,1,18.40509474,0.666,0.315789474,1,28.09556026,0.073,39.42544704,18.90921699,0.0,0.797,0.943,-0.081,-2.93,87.09,0.13,0.21,42.72552249,0.831
CHEMBL70,1.898560645,1.1981,2,17.54772461,0.489,0.529411765,1,0.0,0.064,46.95516651,13.59242839,11.49902367,1.409,0.752,-0.143,-1.52,52.93,-0.085,0.224,24.28477435,1.108
CHEMBL1309609,0.46686762,4.6919,2,25.68328649,0.394,0.35,1,29.04383723,0.116,30.44135868,24.53417895,0.0,1.052,1.056,0.06,-1.78,23.55,0.062,0.908,58.3219035,1.048
CHEMBL1086473,0.23299611,4.5576,0,31.15323644,0.343,0.238095238,0,27.75418915,-0.296,14.53505669,5.733667477,0.0,1.314,1.22,-0.216,-2.88,56.73,0.114,0.071,54.59730362,1.25
CHEMBL1214,1.737113094,0.4865,2,25.32883194,0.613,0.411764706,2,35.51485498,-0.045,61.07051148,0.0,0.0,0.99,0.901,0.001,-2.55,124.01,0.192,1.206,30.33183534,0.982
CHEMBL2335883,0.698100546,4.0866,0,5.563451492,1.047,0.208333333,0,22.53865049,0.058,47.03670207,32.50164538,11.12690298,0.772,0.984,-0.236,-3.35,65.97,0.222,0.086,73.18783433,1.306
CHEMBL174107,1.823539434,1.594,1,13.8474744,0.619,0.333333333,0,29.36838036,-0.291,23.83773836,11.15567891,0.0,1.054,0.929,0.078,-1.69,80.0,0.581,0.243,39.14576121,0.371
32130783,-0.397940009,2.8672,1,10.35798868,0.975,0.15,1,23.44354329,-0.306,42.33496821,30.41600869,17.00689132,1.36,0.998,-0.006,-3.81,99.35,0.144,0.33,54.59730362,1.117
CHEMBL87543,1.461648568,4.7885,1,32.25256914,0.534,0.409090909,1,23.19550589,-0.131,35.98028393,17.98942254,0.0,1.075,1.088,0.038,-1.84,23.55,0.005,0.548,54.59730362,0.415
CHEMBL315708,0.487138375,3.2299,0,0.0,0.886,0.0,0,10.90292493,0.131,10.19736362,0.0,11.25737949,0.279,1.346,-0.112,-2.09,28.68,-0.147,0.015,54.59730362,1.663
CHEMBL1312533,0.320146286,4.4123,2,44.59129681,0.769,0.555555556,2,29.22662041,-0.17,34.96372646,5.316788604,0.0,0.959,0.909,0.009,-1.96,61.44,0.375,0.893,18.19910121,0.898
