ID,activity,rdMD_123,rdMD_2,rdMD_255,rdMD_68,rdMD_166,rdMD_65,rdMD_57,rdMD_294,rdMD_73,rdMD_64,rdMD_239,rdMD_177,rdMD_309,rdMD_18,rdMD_266,rdMD_167,rdMD_247,rdMD_74,rdMD_300,rdMD_245
CHEMBL1287920,1.349860082,3.2261,0.263157895,-0.015,33.14797252,5.518,48.15849747,5.907179729,0.802,23.19963192,18.40630142,-0.136,0.7,0.756,-2.44,0.184,5.735,0.059,42.59504598,1.093,-0.013
CHEMBL2010836,0.782472624,3.3466,0.391304348,-0.143,5.907179729,6.217,71.5486111,0.0,0.562,29.53199772,20.13718479,-0.137,0.482,0.687,-3.27,-0.26,6.13,-0.164,54.85825662,1.206,-0.004
CHEMBL1484,-0.408935393,3.8913,0.346153846,-0.096,23.33768185,6.014,87.10866871,5.687386275,0.646,30.89228343,27.30910789,-0.114,0.632,0.643,-3.85,-0.107,6.03,-0.112,70.85985219,0.882,0.039
CHEMBL1957841,0.678518379,2.5341,0.238095238,-0.161,22.36796493,5.687,76.84187926,5.559266895,0.665,5.563451492,31.20318647,-0.052,0.213,0.64,-3.12,-0.233,5.768,-0.086,65.71916087,1.318,-0.256
CHEMBL321758,1.783689236,2.7977,0.4,0.015,0.0,5.325,65.7242066,0.0,0.951,36.99624982,13.08951281,-0.08,0.148,0.395,-1.88,-0.369,5.216,-0.052,54.59730362,1.25,-0.052
CHEMBL1916284,-0.013228266,5.16472,0.333333333,-0.02,21.74833366,6.536,71.41813459,15.93047088,0.607,49.31031696,4.722094864,-0.112,2.568,0.831,-3.34,-0.007,6.357,-0.07,59.49278709,1.309,-0.27
CHEMBL576257,1.204119983,2.8306,0.1875,0.148,17.45358833,5.913,53.49179317,0.0,1.115,30.04736201,10.63357721,0.106,0.236,0.96,-3.54,-0.149,5.827,0.151,30.59278835,1.029,-0.179
CHEMBL1509029,-0.619788758,4.02236,0.1875,-0.127,37.26408394,5.847,52.53272909,10.02329115,0.867,16.13452668,4.722094864,-0.248,3.372,0.919,-1.92,-0.472,5.819,-0.007,41.29368589,0.623,-0.486
CHEMBL2011127,1.530199698,2.6939,0.423076923,-0.004,34.35300995,5.67,53.4799864,5.907179729,0.766,42.51705626,43.02651707,-0.046,0.362,0.544,-3.75,-0.158,5.786,-0.033,36.52867891,0.878,-0.298
198953,0.637289548,3.80322,0.333333333,-0.142,34.01124964,5.777,59.36296474,0.0,1.051,30.01692878,30.26784643,-0.066,0.496,0.699,-2.84,-0.246,5.629,-0.012,48.10558526,0.852,-0.084
CHEMBL319136,0.428134794,2.6115,0.238095238,0.246,34.31822428,5.936,70.87731642,11.81435946,0.699,16.05191667,14.09534397,0.159,0.891,0.846,-2.83,0.078,5.984,0.305,54.59730362,0.953,-0.097
53744933,-0.08249449,5.1544,0.0,-0.252,56.19768237,6.271,63.28176843,10.02329115,0.728,0.0,10.45576234,-0.268,5.982,1.072,-2.86,0.052,6.158,-0.272,52.31476443,1.122,-0.241
CHEMBL247828,-0.522878745,4.8936,0.464285714,0.027,23.5949858,6.523,59.65783953,0.0,0.481,52.1664106,4.899909731,-0.029,1.271,0.737,-3.76,0.061,6.141,-0.011,48.53093655,0.788,-0.136
CHEMBL1090771,0.075546961,3.9164,0.25,-0.098,27.53141077,6.437,65.26151462,0.0,0.639,18.40509474,0.0,-0.188,6.171,0.837,-3.03,-0.114,6.18,-0.017,58.27678739,1.227,-0.21
CHEMBL383322,1.759138816,2.4741,0.411764706,0.203,27.75418915,5.072,30.08987277,0.0,1.042,26.5956161,12.34054944,0.253,0.274,0.491,-2.18,-0.31,5.154,0.271,24.26546827,1.147,-0.218
CHEMBL192,0.994756945,1.6109,0.5,0.087,21.05669259,5.835,34.24683328,5.559266895,0.888,25.96222402,39.83357957,-0.177,1.352,0.7,-2.76,0.16,6.015,0.017,27.88912186,1.261,-0.452
CHEMBL480558,0.958563883,2.4769,0.636363636,-0.27,32.96101692,5.487,16.46906315,0.0,0.581,26.68911765,6.606881965,-0.211,3.111,0.789,-0.14,-0.442,5.295,-0.285,16.34191331,0.462,-0.465
CHEMBL1924034,1.657151502,2.2454,0.611111111,0.128,5.969305288,5.127,35.89528683,0.0,0.81,25.32883194,41.28020074,0.026,0.159,0.416,-1.39,0.109,5.196,0.079,30.33183534,0.767,-0.259
104447483,0.630427875,3.8989,0.333333333,-0.084,11.81435946,6.377,65.22129102,5.907179729,0.346,46.78919736,6.544756406,-0.088,0.676,0.852,-3.03,-0.059,5.925,-0.127,48.53093655,0.72,-0.075
CHEMBL1515,1.91041094,1.08269,0.25,0.221,12.21787344,4.427,17.16475291,0.0,1.131,0.0,0.0,-0.243,0.0,0.689,-0.57,0.0,3.761,0.048,12.39368714,0.0,-0.024
49311027,1.868168158,2.0483,0.1875,0.006,23.41529935,5.67,64.94142585,5.907179729,0.672,21.963281,13.08951281,-0.144,1.479,0.809,-2.4,0.002,5.769,0.037,48.79188955,0.414,-0.121
CHEMBL1934426,1.039414119,4.38562,0.6,-0.278,21.74833366,5.973,41.08629925,15.93047088,0.763,86.95335033,17.93585879,-0.244,1.824,0.738,-2.39,0.041,6.04,-0.186,29.16095175,0.726,-0.4
CHEMBL1689117,0.949390007,2.449,0.315789474,-0.023,27.59353633,5.935,58.86787513,0.0,0.776,5.563451492,32.78590759,-0.082,2.313,0.749,-2.2,0.118,6.024,0.089,47.36005295,1.684,-0.374
CHEMBL398748,0.164352856,5.038,0.333333333,-0.221,27.62371264,5.815,65.35176753,0.0,0.889,35.95281934,12.42658615,-0.169,0.117,0.917,-3.56,0.238,5.958,-0.199,48.66141305,0.959,-0.169
CHEMBL837,0.976808337,2.3476,0.318181818,-0.03,16.87223022,5.506,56.87307832,5.559266895,0.763,42.52210199,0.0,-0.006,0.514,0.587,-3.19,0.073,5.675,-0.023,29.06000546,1.275,-0.093
CHEMBL1689126,1.039414119,3.0788,0.363636364,0.174,23.47742491,5.579,64.68047284,0.0,0.76,18.05064018,26.24115118,0.175,1.044,0.609,-2.57,-0.19,5.541,0.231,48.53093655,1.627,-0.126
CHEMBL2177736,0.912753304,1.5816,0.315789474,-0.435,23.36076806,5.807,48.41945048,5.907179729,0.88,36.04127517,10.63357721,-0.374,0.25,0.736,-3.53,0.253,5.804,-0.418,42.85599899,1.194,-0.061
CHEMBL655,0.6599162,4.32422,0.111111111,-0.098,17.31262489,5.628,82.14650268,0.0,0.848,22.64523548,0.0,-0.104,1.015,0.693,-2.46,-0.282,5.768,-0.047,53.65381778,1.179,-0.093
CHEMBL564737,0.958563883,4.5203,0.363636364,-0.063,23.47742491,5.583,58.61410578,5.907179729,0.594,59.24090709,6.544756406,-0.098,1.102,0.607,-2.37,-0.1,5.828,-0.01,42.46456948,0.938,-0.014
CHEMBL6966,1.144574208,5.09308,0.518518519,0.04,0.0,5.466,47.52510539,0.0,0.805,37.81602063,48.57637496,0.173,0.208,0.792,-2.91,-0.055,5.751,0.139,36.39820241,0.759,-0.202
CHEMBL2017291,0.572871602,4.16254,0.217391304,-0.024,21.93632637,5.853,70.35790648,0.0,0.88,30.11368144,7.109797541,-0.106,0.546,0.741,-3.94,0.209,5.876,-0.093,52.04315461,0.9,-0.091
CHEMBL1818300,0.515873844,4.5787,0.666666667,-0.156,28.72120751,5.849,35.89528683,5.907179729,0.741,76.07495164,50.71320457,-0.069,0.376,0.663,-2.91,-0.316,5.72,-0.097,30.33183534,0.801,-0.164
CHEMBL2180024,0.940516485,3.9205,0.095238095,-0.094,11.54730479,5.89,90.00148165,0.0,0.823,18.05064018,0.0,-0.08,0.165,0.767,-3.34,-0.182,6.014,-0.095,83.04216729,1.548,-0.078
15987806,-0.137272472,3.52702,0.476190476,0.129,21.48833115,5.941,51.70105634,15.58255805,0.656,68.44835697,4.722094864,-0.082,1.042,0.733,-2.68,-0.042,6.116,0.102,33.95548893,1.202,-0.423
CHEMBL502347,1.640481437,1.7519,0.411764706,-0.091,11.76620206,4.999,35.39237126,0.0,0.604,23.96854623,23.72309002,-0.091,0.118,0.385,-2.14,0.071,4.994,-0.091,24.26546827,0.906,-0.172
CHEMBL1778638,0.495544338,4.2828,0.235294118,-0.069,27.40749831,6.244,46.98428722,0.0,0.602,12.48718869,12.35973557,-0.07,4.011,0.872,-2.26,-0.06,6.305,0.041,41.29368589,1.369,-0.167
CHEMBL140684,0.380211242,2.7635,0.235294118,-0.105,27.30524343,6.383,54.59730362,15.93047088,0.675,6.9237372,16.66967658,-0.063,1.445,0.91,-2.59,0.14,6.168,0.051,59.49278709,1.18,-0.295
CHEMBL13817,1.403292145,1.7653,0.481481481,0.172,27.52503689,6.002,65.7242066,0.0,0.645,37.81602063,36.80213636,-0.05,1.359,0.612,-2.95,-0.308,5.913,0.077,54.59730362,1.082,-0.422
CHEMBL1934422,1.220892249,3.81664,0.565217391,-0.315,21.74833366,5.944,41.08629925,15.93047088,0.752,68.19380104,17.93585879,-0.276,1.851,0.765,-2.39,-0.044,5.981,-0.202,29.16095175,0.719,-0.418
CHEMBL2179276,0.204119983,5.41322,0.392857143,-0.18,17.57024518,6.048,91.2124855,5.559266895,0.667,66.67851259,13.08951281,-0.224,1.028,0.714,-3.36,-0.037,6.071,-0.177,58.25048742,1.207,-0.119
CHEMBL158,1.262213705,-0.8481,0.461538462,-0.085,50.26785898,5.717,11.07399077,11.81435946,0.75,32.50698042,5.733667477,-0.247,1.729,0.699,-2.46,-0.264,5.812,-0.089,10.3724675,1.565,-0.328
CHEMBL604126,-0.677780705,4.90072,0.176470588,-0.167,22.93772577,6.213,66.71994661,0.0,0.764,21.56750167,0.0,-0.18,4.967,0.823,-2.52,0.104,6.023,-0.281,35.25684903,0.967,-0.018
CHEMBL2312928,1.237543738,4.0939,0.19047619,0.017,17.75097253,5.783,90.75354346,0.0,1.791,24.69093955,6.544756406,0.053,0.718,0.812,-2.22,-0.097,6.076,0.078,85.19009196,0.124,-0.302
CHEMBL560993,-0.443697499,4.31242,0.142857143,0.037,27.77515515,5.72,77.36583194,0.0,0.757,16.95130748,0.0,0.107,0.372,0.621,-3.21,-0.285,5.72,0.137,54.59730362,0.774,-0.066
210343,0.374565061,2.37892,0.266666667,-0.437,28.23454642,5.515,47.62166012,0.0,1.027,17.43623854,23.30621115,-0.505,0.623,0.776,-2.61,-0.066,5.212,-0.208,36.10332762,0.689,-0.129
29936179,1.65850745,2.1354,0.315789474,-0.039,5.907179729,5.367,65.22129102,5.907179729,0.774,40.93341687,6.544756406,-0.087,0.184,0.66,-2.37,-0.247,5.306,-0.07,48.53093655,0.908,-0.028
CHEMBL14762,0.857332496,3.2021,0.421052632,-0.035,22.93008,5.523,42.22260691,0.0,0.722,38.79732554,17.24045917,0.008,0.209,0.732,-2.67,-0.362,5.536,-0.006,36.65915542,0.982,-0.286
31246617,0.912806393,2.0045,0.391304348,0.187,11.81435946,5.591,71.28765809,0.0,0.7,23.1111761,26.6819412,0.016,0.197,0.551,-2.66,0.043,5.46,0.071,54.59730362,0.967,-0.139
CHEMBL229430,-0.698970004,5.5228,0.1,-0.143,32.59214472,6.352,60.42170811,0.0,0.794,12.48718869,5.316788604,-0.164,1.039,0.887,-3.53,-0.174,6.246,-0.067,54.85825662,1.145,-0.049
CHEMBL1807823,1.646109522,2.8738,0.409090909,0.039,33.31529146,5.559,63.25897224,0.0,1.055,23.65169099,37.68473284,0.006,1.036,0.773,-1.84,-0.159,5.398,0.022,47.25910666,0.947,0.006
CHEMBL1818194,0.301029996,5.3577,0.428571429,-0.216,22.90334473,5.989,60.42170811,5.907179729,0.695,56.81248677,13.08951281,-0.146,0.288,0.732,-3.48,-0.013,5.921,-0.179,54.85825662,0.639,-0.125
496510,-0.204119983,2.07812,0.428571429,-0.061,21.9615854,6.159,53.6104629,15.93047088,0.661,53.84995278,6.544756406,-0.147,1.052,0.866,-3.01,-0.323,6.084,-0.208,41.55463889,0.592,-0.445
315259678,1.70808081,1.0447,0.384615385,-0.292,16.81010466,5.359,29.95939627,5.907179729,0.869,23.19963192,13.08951281,-0.29,0.135,0.883,-1.88,0.364,5.574,-0.31,24.39594478,1.143,-0.006
CHEMBL1089518,0.698100546,1.5561,0.333333333,-0.116,22.951046,5.546,45.87665184,0.0,0.505,30.89228343,12.34054944,-0.209,0.42,0.669,-3.36,0.089,5.39,-0.211,29.06000546,1.319,-0.231
CHEMBL219916,0.838849091,3.3532,0.363636364,-0.272,33.66774276,5.933,68.45576396,0.0,0.588,25.3043057,19.63426922,-0.233,0.765,0.687,-2.77,0.001,5.81,-0.199,52.05364385,0.829,-0.191
CHEMBL2325622,0.544068044,4.4128,0.19047619,-0.115,38.28827614,6.29,65.57944105,10.02329115,0.875,6.041840829,24.85927966,-0.168,3.934,0.851,-3.13,-0.025,6.288,-0.035,53.81784953,1.131,-0.314
316276642,0.123198075,4.41538,0.416666667,-0.08,22.75844394,6.114,72.3246021,5.907179729,0.96,32.73095847,58.21596984,-0.11,0.689,0.569,-4.9,0.025,6.218,-0.1,66.50738126,0.93,-0.175
CHEMBL1916273,0.707570176,3.42814,0.238095238,-0.273,21.74833366,6.1,71.41813459,15.93047088,0.762,35.46284256,4.722094864,-0.294,1.723,0.861,-3.13,0.068,6.097,-0.193,59.49278709,0.731,-0.444
CHEMBL2147306,0.640481437,3.90832,0.272727273,0.001,5.907179729,6.317,65.3635743,5.907179729,0.6,21.48489166,20.26143591,0.121,0.856,0.837,-3.76,0.142,6.16,0.058,42.85599899,1.031,-0.165
CHEMBL422649,0.773786445,2.7712,0.1875,-0.059,21.43181914,6.362,54.59730362,5.907179729,0.703,6.9237372,5.316788604,-0.05,1.4,0.972,-2.39,0.063,6.243,0.085,64.38827057,1.847,-0.165
CHEMBL1088913,1.568905415,3.5764,0.428571429,0.194,11.03340144,5.423,59.67682997,0.0,1.111,48.80691131,13.08951281,0.194,0.089,0.459,-2.24,-0.192,5.377,0.194,42.59504598,0.563,-0.189
CHEMBL1088751,0.26245109,4.43364,0.181818182,-0.187,21.83712363,5.976,91.30981723,11.46644662,0.718,27.17881965,7.047671983,-0.155,8.194,0.809,-3.0,-0.084,6.132,-0.375,51.73182618,1.424,-0.059
316230505,-0.639532816,2.13104,0.4,-0.01,28.40467067,5.532,28.70441889,11.81435946,0.826,41.38074861,17.98942254,-0.053,0.668,0.645,-3.01,-0.063,5.589,-0.058,6.066367068,1.182,-0.116
CHEMBL2087433,1.708845638,2.52954,0.72,0.121,15.93047088,5.553,23.25963712,0.0,0.771,36.81018948,67.14268747,0.026,1.121,0.701,-1.68,0.107,5.419,0.142,17.02821761,0.937,-0.495
CHEMBL2137199,-1.096910013,5.5177,0.346153846,-0.033,0.0,6.611,89.49856608,5.601050811,0.604,16.69035448,26.17902562,0.115,1.594,0.743,-3.02,0.319,6.247,0.126,66.99099076,1.083,-0.076
207623013,0.326540669,4.39902,0.28125,-0.099,27.71302959,6.049,97.32137829,11.46644662,0.65,47.44711568,0.0,-0.112,1.386,0.563,-4.57,-0.015,6.285,-0.134,52.05364385,1.139,-0.066
CHEMBL1467761,-0.366531544,4.25962,0.409090909,-0.2,33.27844902,5.38,52.66320559,5.907179729,0.692,42.25610326,31.07893535,-0.075,0.583,0.531,-2.47,-0.251,5.605,-0.36,35.97285112,1.402,-0.054
CHEMBL1934271,0.912753304,4.82624,0.565217391,-0.304,21.74833366,5.923,41.08629925,15.93047088,0.759,82.04127544,4.722094864,-0.294,1.761,0.741,-2.35,-0.044,5.964,-0.204,29.16095175,0.807,-0.461
CHEMBL1518,1.79518459,1.38499,0.428571429,-0.121,12.21787344,5.224,26.88516491,5.559266895,1.056,19.03848682,0.0,-0.258,0.435,0.938,-0.9,-1.141,4.303,-0.012,10.86090425,0.0,-0.046
CHEMBL1962896,1.195899652,3.7536,0.392857143,0.419,29.14384518,5.808,70.50487734,5.907179729,0.864,34.45701141,58.91362764,0.145,1.065,0.725,-3.56,-0.527,5.769,0.107,48.53093655,0.784,-0.199
CHEMBL210884,1.575187845,0.7753,0.266666667,-0.105,16.98174072,5.506,46.37956742,0.0,0.518,5.563451492,26.05722895,-0.054,0.348,0.743,-2.87,0.227,5.335,-0.101,35.12637253,1.361,-0.353
68868488,0.276231958,3.3062,0.2,-0.002,22.88892045,5.959,84.06386006,0.0,0.805,18.88348407,18.82318029,-0.191,0.453,0.628,-4.4,-0.103,5.941,-0.151,78.37411667,1.092,-0.244
CHEMBL16,1.254064453,1.7696,0.066666667,-0.069,11.93829424,5.883,71.79057367,5.907179729,0.407,11.12690298,0.0,-0.06,0.197,1.119,-2.62,0.09,5.842,-0.057,60.66367068,0.0,-0.07
CHEMBL1442311,0.320146286,4.30092,0.192307692,-0.173,38.20816836,6.118,77.85694074,5.907179729,0.693,15.92144017,33.50747653,-0.266,0.807,0.79,-3.82,0.118,6.325,-0.114,71.62552123,1.02,-0.437
197915,1.632416797,2.72542,0.523809524,0.235,17.41242878,5.579,42.11112084,0.0,1.013,42.98904853,38.04057063,0.174,0.159,0.637,-2.54,0.02,5.325,0.21,30.72326485,1.119,-0.282
CHEMBL1916280,0.525044807,3.81824,0.272727273,-0.281,21.74833366,6.104,71.41813459,15.93047088,0.768,41.88366418,4.722094864,-0.291,1.733,0.828,-3.13,0.107,6.11,-0.196,59.49278709,0.806,-0.444
17268136,0.142389466,4.2083,0.32,0.161,0.0,5.761,90.25062788,0.0,1.177,11.12690298,39.39278955,0.054,0.132,0.609,-2.73,0.113,5.515,0.097,79.1237249,0.972,-0.216
CHEMBL482552,0.903632516,3.8306,0.185185185,0.025,33.66136887,6.087,84.18426081,5.907179729,1.001,16.05191667,31.49581423,0.034,0.205,0.904,-4.14,0.32,6.244,0.034,72.92688132,1.01,-0.203
CHEMBL41547,1.212720154,1.322,0.531914894,0.243,58.21273761,6.606,71.92105017,0.0,0.735,95.10049966,19.63426922,0.077,1.435,0.684,-6.46,0.035,6.697,0.144,65.78655192,0.972,-0.134
174073,1.861522463,2.19442,0.733333333,-0.318,5.817862778,4.625,17.58469956,0.0,0.983,43.11952503,38.12660734,-0.318,0.063,0.8,-1.16,-0.031,4.34,-0.318,6.066367068,0.712,-0.337
202525,0.549861188,4.705,0.25,-0.104,35.0510249,5.931,71.00779292,5.907179729,0.612,48.27995957,17.59521249,-0.134,0.805,0.729,-3.45,-0.184,6.037,-0.084,54.72778012,0.998,-0.112
CHEMBL1483,0.764176132,3.2433,0.333333333,-0.288,34.83686574,5.533,18.19910121,0.0,0.492,13.34455882,18.17943975,-0.27,0.543,0.926,-1.69,0.302,5.183,-0.056,23.09458468,2.557,-0.059
CHEMBL384903,-0.958607315,4.062,0.133333333,-0.183,11.03340144,6.555,58.00938598,0.0,0.53,11.12690298,0.0,-0.178,1.141,0.952,-2.91,-0.636,6.398,-0.207,41.19273959,1.837,-0.063
CHEMBL71,0.23299611,4.8944,0.294117647,-0.184,34.73759739,5.29,47.48720279,0.0,1.088,6.420821623,32.08476651,-0.114,4.282,0.55,-1.16,0.019,5.259,-0.209,52.25553643,1.466,0.007
CHEMBL2164045,0.621176282,4.0529,0.173913043,0.053,16.67962816,6.476,77.75726145,5.907179729,0.537,21.87632117,0.0,-0.044,1.055,0.777,-4.35,-0.088,5.985,-0.04,54.85825662,0.657,-0.129
CHEMBL211177,1.278524965,2.2235,0.8,-0.204,17.58817002,6.419,0.0,11.50823054,0.864,40.53659204,0.0,-0.106,1.089,0.781,-2.05,-0.208,5.859,-0.103,5.155712727,1.077,-0.117
CHEMBL1916085,0.271841607,4.38622,0.333333333,-0.264,21.74833366,6.069,71.92105017,15.93047088,0.724,48.02554828,11.76976685,-0.287,1.563,0.718,-3.13,0.071,6.183,-0.196,65.68963066,0.892,-0.443
CHEMBL2181753,0.281033367,5.7398,0.259259259,-0.124,12.0004198,6.345,88.98384372,0.0,0.465,29.17754317,13.65455395,-0.114,0.895,0.79,-4.01,-0.108,6.265,-0.136,66.73003775,1.059,-0.084
317744209,-0.208309351,4.635,0.192307692,-0.031,40.01739869,6.189,73.5154224,5.879988336,0.992,0.0,48.76018455,0.091,0.302,0.906,-4.37,0.045,5.969,0.053,77.93257334,0.974,-0.279
CHEMBL2011123,1.410777233,3.2202,0.52,-0.055,23.58056152,5.733,40.83715302,5.907179729,0.883,62.27589499,43.00260592,-0.003,0.505,0.629,-3.43,-0.162,5.931,-0.038,18.19910121,0.885,-0.264
42902190,1.579154557,1.60672,0.533333333,-0.11,22.80182588,5.334,28.2143486,0.0,1.017,23.22932971,18.40630142,-0.048,0.635,0.719,-2.13,-0.2,5.221,-0.138,18.32957771,0.888,0.194
CHEMBL2018969,-0.086186148,3.996,0.25,-0.264,55.58898436,6.194,70.06053562,15.93047088,0.65,24.97437738,11.83189241,-0.117,3.344,0.86,-3.12,0.01,6.107,-0.23,58.80648279,0.839,-0.262
CHEMBL412142,0.650307523,4.9396,0.136363636,-0.299,34.96808184,5.968,70.22501217,0.0,0.682,11.25737949,23.72309002,-0.31,1.688,1.104,-3.67,0.483,6.062,-0.113,48.92236606,1.573,-0.166
CHEMBL570002,1.575187845,2.2256,0.2,0.247,17.45358833,5.894,47.68637911,0.0,1.132,30.17783852,10.63357721,0.226,0.249,0.953,-3.61,-0.126,5.773,0.247,24.65689778,1.069,-0.253
CHEMBL621,1.092720645,2.3617,0.368421053,-0.052,22.93550339,5.591,64.16832695,0.0,0.765,6.420821623,37.62369176,-0.083,0.732,0.535,-2.31,-0.348,5.554,0.028,53.45595023,1.018,-0.125
CHEMBL1934414,0.428134794,4.58024,0.565217391,-0.326,21.74833366,5.928,41.08629925,15.93047088,0.728,81.03544428,4.722094864,-0.317,1.761,0.719,-2.35,-0.044,5.958,-0.217,29.16095175,0.807,-0.443
CHEMBL397983,0.46686762,5.8055,0.21875,-0.096,16.94058116,6.603,118.6920471,5.559266895,0.539,36.84062271,6.606881965,-0.115,0.995,0.777,-5.26,-0.211,6.294,-0.149,96.18147272,0.857,-0.165
CHEMBL2010831,1.204119983,3.7744,0.434782609,-0.122,15.74443287,6.261,65.22129102,0.0,0.561,29.53199772,26.39295398,-0.142,1.038,0.731,-2.39,-0.228,6.224,-0.093,53.42642002,0.894,-0.232
CHEMBL2164364,1.110252917,4.2082,0.173913043,-0.048,16.67962816,6.415,84.07277474,5.907179729,0.418,21.87632117,0.0,-0.078,0.827,0.784,-4.08,-0.065,5.903,-0.091,66.99099076,0.595,-0.138
CHEMBL560377,-0.744727495,5.2659,0.041666667,-0.037,10.90292493,5.967,97.08086353,0.0,1.06,5.693927995,0.0,0.016,0.107,1.06,-3.99,0.31,6.05,0.005,91.38693554,1.058,0.02
CHEMBL2147221,0.745074792,4.15932,0.304347826,-0.128,5.907179729,6.265,65.61272053,5.907179729,0.532,27.90571328,20.26143591,-0.125,0.541,0.823,-3.69,0.133,5.962,-0.179,48.92236606,1.008,-0.166
CHEMBL1738840,1.489677292,2.1467,0.214285714,-0.124,11.16387794,5.389,48.17748791,0.0,1.005,11.51833249,7.109797541,-0.154,0.089,0.902,-2.43,-0.33,5.2,-0.156,36.65915542,1.446,-0.279
CHEMBL1144,1.543322901,2.4404,0.739130435,-0.149,11.93861058,5.282,23.80116485,0.0,0.754,59.29614134,0.0,-0.149,0.47,0.579,-1.7,0.025,5.309,-0.149,23.80116485,0.954,-0.032
CHEMBL518924,1.388278863,3.5764,0.428571429,0.194,11.03340144,5.423,59.67682997,0.0,1.111,48.80691131,13.08951281,0.194,0.089,0.459,-2.24,-0.192,5.377,0.194,42.59504598,0.563,-0.189
CHEMBL1766081,0.495544338,3.66894,0.5,-0.309,6.093240071,5.451,35.91427727,0.0,0.904,37.94649713,13.08951281,-0.371,0.273,0.545,-2.9,0.175,5.395,-0.373,24.65689778,0.859,-0.314
CHEMBL1359986,-0.193820026,3.55252,0.066666667,-0.075,28.18684514,5.849,54.35534105,0.0,1.182,5.563451492,10.63357721,-0.197,0.489,1.04,-2.8,-0.376,5.581,0.018,48.79188955,0.955,0.039
6795908,-0.185752404,4.07874,0.176470588,-0.379,44.74891241,5.489,57.05244683,5.907179729,0.975,26.49251536,5.733667477,-0.136,1.182,0.782,-2.11,0.174,5.442,-0.474,30.33183534,0.864,-0.001
