ID,activity,rdMD_123,rdMD_124,fcfp4_25,rdMD_50,fcfp4_33,rdMD_261,rdMD_1,rdMD_277,fcfp4_927,rdMD_64,rdMD_25,rdMD_309,rdMD_313,rdMD_312,rdMD_61,rdMD_270,rdMD_230,rdMD_45,rdMD_275,rdMD_245
35720088,1.870164,0.9799,90.5257,0,0.0,0,0.025,55.89,1.094,0,45.81329484,9.071204105,0.593,1.017,1.509,20.0165178,1.044,0.288,15.11660807,0.736,-0.099
36444864,2.218672,3.94452,79.347,0,35.33461392,0,0.019,43.6,0.838,0,0.0,6.682143803,0.908,1.023,0.78,19.74844179,0.705,0.391,0.0,1.934,0.073
82732189,1.635665,3.6199,79.7575,0,12.13273414,0,0.019,33.2,0.782,0,13.08951281,7.22703965,0.687,1.04,0.847,9.883888252,0.729,0.128,4.899909731,1.482,-0.082
324134429,1.124928,3.0664,111.885,0,0.0,0,-0.062,103.43,0.928,0,25.1374345,10.26603671,0.701,0.854,0.881,19.56096949,0.589,-0.008,19.89704191,0.704,-0.126
177506336,2.403695,2.54332,84.4084,0,12.13273414,0,-0.187,70.78,0.965,0,20.82647705,6.789964565,0.89,0.837,0.607,0.0,0.865,-0.001,19.94425634,0.732,-0.164
42961772,2.207171,3.0129,67.4157,0,6.066367068,0,-0.107,48.71,0.792,0,5.316788604,5.544877176,0.83,0.957,1.508,4.983978521,0.83,-0.165,5.316788604,1.701,-0.088
60180599,1.316264,1.0966,84.2702,0,5.213385096,0,0.021,107.69,0.94,0,0.0,7.219169579,0.69,1.068,1.154,29.7583331,1.009,-0.158,4.736862954,0.958,-0.083
45636709,1.659098,3.4437,94.8322,0,18.19910121,0,-0.093,71.53,0.986,0,23.36833671,7.921103604,0.888,0.976,0.896,4.983978521,0.497,0.356,10.05365156,1.242,-0.167
425314,3.34628,3.89132,97.0757,0,17.64385195,0,-0.086,56.52,0.897,0,13.71667951,9.145381278,0.94,1.187,1.087,10.47345186,1.107,-0.232,19.31360945,0.867,-0.005
82737949,1.02792,0.4579,72.7412,0,0.0,0,-0.181,94.3,1.209,0,7.109797541,6.191717072,0.95,1.509,1.525,29.88280387,0.664,0.125,10.05365156,1.539,-0.315
43249211,1.02792,2.1663,75.0343,1,12.13273414,1,0.208,58.36,1.072,1,13.08951281,6.8178033,0.507,0.93,0.845,14.4509879,0.593,0.092,9.673627043,1.019,-0.216
136045,3.331902,3.9801,105.7847,0,42.46456948,0,0.126,47.56,0.88,0,20.32356147,9.811949602,0.662,0.714,1.458,5.316788604,0.715,0.066,14.79051451,1.211,-0.094
206429,1.040088,2.4341,104.0522,0,0.0,0,-0.046,65.54,0.903,0,39.77145401,10.60294053,0.631,0.846,1.155,20.10058659,0.458,0.262,15.11660807,1.184,-0.137
31413696,2.792557,3.0668,61.2907,0,0.0,0,-0.227,48.71,0.83,0,5.316788604,5.35034195,1.015,0.909,1.116,4.983978521,0.971,-0.235,5.316788604,1.112,-0.003
201873,2.919518,4.12262,128.237,0,12.13273414,0,0.19,59.31,1.209,0,39.19456405,11.42069182,0.651,1.073,1.015,24.64835152,0.831,0.076,9.636772685,0.629,-0.182
32419804,2.637425,2.4315,89.0167,0,12.13273414,0,0.148,58.87,1.404,0,23.80912672,7.371280528,0.699,1.273,1.28,19.51903521,0.802,0.264,14.78379798,0.687,-0.427
11015786,1.02792,3.80782,107.661,1,24.26546827,1,-0.231,112.57,1.02,1,10.03888347,10.44082205,1.015,1.337,1.284,0.0,1.065,0.324,10.423316,1.461,-0.304
323790,2.780832,2.1337,101.71,0,0.0,0,-0.001,51.77,1.004,0,31.20210199,9.768949428,0.66,1.005,1.033,19.08108908,0.678,0.184,4.736862954,1.119,-0.023
45903948,2.098308,3.91772,121.8242,0,0.0,0,-0.205,99.12,1.019,0,14.21959508,10.64742064,0.983,1.339,1.235,25.25270269,0.973,-0.032,14.79051451,1.198,-0.095
43638490,1.02792,0.569,61.7565,0,0.0,0,0.034,51.66,1.216,0,33.41307428,5.608398591,0.669,1.269,1.448,9.883888252,0.884,-0.108,14.37363564,0.859,-0.328
141603,2.841433,3.8656,122.1527,0,38.11294267,0,0.098,75.19,0.978,0,13.08951281,11.21991511,0.608,0.628,1.571,20.18465538,0.591,0.229,10.21669833,0.957,-0.142
30151761,1.159868,2.1241,54.8063,1,0.0,1,0.029,40.54,0.793,1,17.98942254,4.960809381,0.573,1.625,1.405,0.0,0.707,-0.012,10.00643713,1.134,-0.091
31507466,1.921967,2.09272,95.051,0,25.92787486,0,0.15,109.05,0.968,0,0.0,8.486134254,0.672,0.781,1.08,39.73256984,1.084,-0.166,9.259957891,0.924,-0.031
48278518,2.34404,1.11792,62.266,0,18.19910121,0,0.531,46.84,0.77,0,18.49233812,5.261173123,0.334,1.342,1.597,20.20725493,0.893,0.098,4.899909731,1.388,0.249
48836360,3.36409,4.07278,86.4885,0,6.066367068,0,0.173,44.1,0.743,1,6.544756406,9.304441499,0.444,1.127,1.093,4.899909731,0.909,0.136,4.899909731,1.893,0.0
32674428,2.797785,2.6838,90.4502,0,23.35576446,0,-0.285,86.48,0.962,0,14.21959508,7.586228932,1.067,1.196,1.256,15.45743038,0.847,0.048,19.31360945,1.102,-0.099
2343643,3.048811,1.9379,75.922,0,12.13273414,0,0.172,32.26,1.129,0,31.07893535,6.798926502,0.538,1.229,1.27,14.86786677,0.768,0.121,4.899909731,1.604,-0.255
49316037,1.736141,2.41508,77.1747,0,0.0,0,-0.145,66.53,1.152,0,11.86154501,6.355447916,1.015,0.953,1.139,14.53505669,0.786,0.103,9.883888252,1.013,-0.273
37009919,1.422409,2.9693,83.0817,0,0.0,0,-0.049,44.81,0.999,0,31.07893535,8.067982725,0.709,0.707,0.9,10.21669833,0.223,0.628,19.85347102,0.652,-0.205
409548,2.15604,1.7109,94.923,0,11.60093989,0,0.082,68.31,1.059,0,17.98942254,8.310610512,0.666,1.439,1.035,19.33156291,0.611,0.366,0.0,1.651,-0.15
30026463,3.416401,4.26274,106.9697,0,18.19910121,0,0.074,58.37,1.026,0,24.95105782,9.532378576,0.672,1.458,1.298,9.883888252,0.91,0.058,9.733939541,0.505,-0.159
29578860,1.044305,2.78352,70.9362,0,11.22303033,0,-0.104,68.02,0.784,0,5.316788604,5.822943968,0.898,1.459,1.28,10.14064178,0.959,-0.153,9.839883541,1.135,0.044
5799439,3.276577,3.8334,98.93,0,52.79201675,0,-0.027,50.49,0.681,0,12.05658451,9.144869146,0.699,1.187,0.828,9.780484743,0.833,-0.026,0.0,0.728,0.137
32069322,2.575872,3.11742,78.5832,0,5.156663257,0,-0.116,80.91,0.778,0,5.316788604,7.572800028,0.81,1.842,1.257,15.1246203,0.919,-0.067,4.523094937,1.322,0.063
32014834,1.919015,1.4275,80.152,0,22.93772577,0,-0.208,89.79,0.922,0,13.33769871,7.564249999,0.884,1.055,1.543,9.883888252,0.819,0.05,19.89704191,0.861,-0.074
31930262,1.397001,2.07152,58.525,0,5.156663257,0,-0.038,42.16,0.895,0,7.047671983,5.659125691,0.864,1.341,1.508,15.04055151,0.724,-0.332,4.523094937,1.59,0.1
13523780,1.585066,4.68394,102.3922,0,6.066367068,0,0.03,67.77,0.834,0,5.316788604,9.306555773,0.723,1.395,1.582,14.95193556,1.292,-0.118,5.316788604,0.58,-0.002
171813288,2.974697,5.08482,129.946,0,13.8474744,0,0.004,74.79,0.893,0,19.69639478,11.88888809,0.667,0.782,1.076,9.883888252,0.939,-0.141,24.46414155,0.829,-0.119
168890455,2.758345,4.2226,134.3416,0,24.77803689,0,0.042,102.48,0.896,0,24.95105782,11.95725236,0.682,0.736,0.91,14.68039447,0.913,-0.005,20.68722877,0.998,-0.072
177454167,1.48521,2.1375,80.705,0,0.0,0,0.002,32.78,1.201,0,46.44046154,8.192079606,0.553,1.15,0.985,9.799819462,0.745,0.032,14.53668242,1.158,-0.242
35771333,1.91541,3.594,95.8474,0,12.84164325,0,0.088,72.63,0.86,0,13.08951281,8.603968455,0.623,1.145,1.024,4.899909731,0.874,0.099,15.37044016,0.944,-0.103
30748239,1.02792,2.76852,81.9537,0,18.19910121,0,0.104,59.81,1.098,0,5.316788604,6.852014435,0.685,1.662,1.277,14.53505669,0.719,0.17,9.883888252,1.591,-0.226
2548417,2.664453,3.5029,80.8467,0,29.96098615,0,0.094,45.98,1.033,0,0.0,7.371083537,0.883,1.28,1.231,19.35263017,0.857,-0.141,9.384673127,0.05,-0.043
42949037,1.02792,1.3122,76.7272,0,35.54522044,0,-0.123,77.63,0.827,0,5.316788604,6.446031371,0.904,1.147,1.255,24.77435458,0.929,-0.159,5.316788604,1.014,0.069
48752652,1.690719,2.18502,67.6742,0,0.0,0,-0.248,64.11,1.013,0,12.42658615,5.534474333,0.922,1.232,1.322,9.967957042,0.736,0.194,10.05365156,0.937,-0.212
44587026,2.120439,3.3224,92.6362,0,12.13273414,0,-0.042,59.81,0.573,0,5.316788604,7.898930834,0.806,0.918,1.085,14.76446326,0.687,0.036,5.316788604,1.146,0.015
31836416,1.325023,2.1507,61.8072,0,18.19910121,0,-0.229,41.99,0.786,0,0.0,5.19206119,0.999,1.376,1.144,10.30076712,0.803,-0.032,5.316788604,0.814,-0.086
LN01345100,2.272106,2.7534,127.7374,0,24.11953552,0,0.111,108.27,1.133,0,18.82318029,10.84962569,0.6,0.98,1.248,24.00206607,0.799,0.202,15.37044016,0.845,-0.244
42907173,2.938698,2.0861,90.873,0,19.26246487,0,0.043,40.62,0.907,1,43.6515148,10.47705949,0.472,1.084,1.393,9.799819462,0.408,0.142,9.799819462,1.7,-0.003
64087666,2.897845,3.6231,71.5494,0,24.26546827,0,-0.094,38.91,0.629,0,5.733667477,5.640872603,0.821,0.868,0.934,4.983978521,0.664,0.095,5.733667477,1.606,-0.024
44107241,3.061236,4.8512,105.2497,0,54.59730362,0,0.142,68.02,0.751,0,5.316788604,8.94874362,0.727,1.337,1.05,10.19736362,0.778,0.247,9.733939541,0.964,0.026
177506724,3.639721,2.81474,86.8344,0,19.26246487,0,0.05,67.01,0.833,0,13.15163837,8.552871888,0.659,1.129,0.977,15.51415222,1.032,-0.124,10.05365156,1.272,-0.021
EN300-97039,3.2433,4.2173,126.7354,0,24.77803689,0,0.143,99.16,0.985,0,18.82318029,10.87160457,0.63,0.871,0.848,24.64835152,0.982,0.039,15.37044016,0.949,-0.113
3477427,1.451188,4.78462,89.4792,0,41.66862122,0,-0.136,54.88,0.644,0,5.316788604,8.041746796,0.865,0.755,0.762,10.19736362,1.017,0.219,0.0,1.4,0.048
36085682,1.73012,1.41162,65.5978,0,6.066367068,0,0.211,41.93,1.117,0,39.45491511,5.986456581,0.66,1.133,1.337,4.899909731,1.066,-0.255,14.5802533,0.365,-0.242
49950940,1.699942,2.5523,84.4512,0,0.0,0,-0.004,58.37,0.994,0,26.6819412,7.794073069,0.677,0.882,0.898,15.20067686,0.78,0.041,14.63384927,1.293,-0.186
Z60745180,2.898286,3.2626,96.0052,0,25.32883194,0,0.062,79.37,0.871,0,5.316788604,8.892796196,0.645,1.389,1.119,9.883888252,0.59,0.239,5.316788604,0.547,-0.11
49972454,1.882877,2.53152,86.8927,0,6.066367068,0,0.028,54.46,1.14,0,19.63426922,7.813812752,0.687,2.18,0.975,15.20067686,1.126,0.093,14.95356129,0.774,-0.236
181831,2.358299,3.9063,124.0122,0,48.53093655,0,0.106,61.36,1.145,0,32.58768208,10.73403313,0.662,0.746,1.117,20.18465538,0.689,0.177,15.11660807,1.123,-0.21
222773330,2.531992,2.5379,88.798,0,12.13273414,0,0.198,37.19,1.087,0,25.03709453,8.25103098,0.458,1.274,1.132,19.664373,0.837,-0.08,9.467009379,0.421,-0.175
177427275,2.409196,2.3811,73.2967,0,6.066367068,0,-0.034,63.57,0.962,0,0.0,6.502294478,0.768,1.007,1.293,19.51903521,0.461,0.313,4.983978521,0.968,-0.172
73016554,3.535023,3.2636,100.816,0,30.33183534,0,0.255,57.74,1.174,0,11.44466614,8.932766177,0.538,0.946,1.054,14.53505669,0.929,0.065,9.467009379,1.216,-0.232
222599,1.905558,2.9798,77.1167,0,12.84164325,0,0.436,31.92,1.134,0,13.08951281,7.549947023,0.418,1.145,0.694,14.86786677,1.106,-0.181,4.983978521,1.781,-0.19
50568787,1.629715,1.5336,81.0126,0,0.0,0,-0.182,88.32,0.944,0,23.80912672,6.57870468,0.865,0.893,0.847,4.983978521,0.861,-0.131,15.95036581,0.53,-0.155
1553084,2.006975,3.5184,107.4757,0,18.19910121,0,-0.292,106.23,1.18,0,10.03888347,10.08350898,1.209,1.364,1.074,9.780484743,1.021,0.14,9.733939541,1.299,-0.404
49424108,1.822965,3.9084,136.0009,0,11.60093989,0,-0.242,140.13,1.203,0,29.9492066,13.12647846,0.939,0.831,0.96,25.06523039,0.598,0.184,15.37044016,1.026,-0.368
23816897,1.510451,3.19724,101.5207,0,35.04230486,0,0.206,62.63,0.934,0,13.08951281,9.359621218,0.653,1.3,0.796,29.86173661,1.016,-0.036,4.983978521,0.862,0.061
300939233,1.455773,1.0894,57.3647,0,35.54522044,0,-0.092,42.74,0.702,0,13.08951281,5.112966676,1.0,0.868,0.585,20.31065844,1.023,-0.107,5.316788604,0.682,0.243
48548511,2.987411,3.4411,91.2437,0,30.33183534,0,-0.014,41.15,0.907,0,13.08951281,8.333128585,0.711,1.135,1.319,14.86786677,0.837,-0.159,9.720841475,1.229,-0.142
31987284,2.264797,2.04592,67.7162,0,6.066367068,0,-0.124,64.11,1.087,0,12.42658615,5.444874601,0.868,1.441,1.511,9.967957042,0.781,-0.018,10.05365156,0.881,-0.243
193725,2.389037,3.25592,124.4511,0,0.0,0,-0.065,106.26,1.086,0,37.79452284,10.7268231,0.822,1.179,1.314,19.85184529,0.743,0.127,15.78731903,0.856,-0.217
23567667,2.805975,3.0107,73.5312,0,38.11294267,0,-0.017,41.99,0.853,0,6.544756406,6.305873832,0.753,1.219,1.333,10.30076712,0.732,0.078,5.316788604,0.971,-0.095
53815325,1.02792,1.7434,82.077,0,30.33183534,0,0.42,59.21,0.591,0,19.345282,7.703807956,0.482,1.58,1.417,30.15414472,1.031,0.156,4.899909731,1.464,0.316
49972886,2.035978,2.58428,67.7707,0,6.9237372,0,-0.115,61.6,0.914,0,5.316788604,6.227906122,0.891,0.849,1.182,9.967957042,1.095,-0.295,5.316788604,1.448,-0.022
301191566,1.871993,3.4719,78.155,0,0.0,0,-0.238,57.38,1.038,0,14.21959508,6.703972822,1.102,0.756,0.992,9.967957042,1.318,-0.06,13.89087684,0.124,-0.086
50377896,1.02792,-1.5416,60.2614,0,11.76188495,0,0.107,85.52,0.975,0,20.70222593,5.964930583,0.654,1.455,1.004,4.899909731,1.162,-0.326,24.95635487,0.144,-0.076
4951393,2.357719,4.5239,111.1957,0,25.98020854,0,0.08,62.3,0.819,0,11.86154501,10.63884668,0.558,0.975,0.842,9.883888252,1.253,0.019,10.21669833,0.954,-0.002
44811774,2.506747,2.7066,110.8627,0,37.25557254,0,0.113,76.04,1.017,0,26.30327674,10.50263991,0.619,1.185,1.216,24.64835152,0.788,0.02,9.720841475,1.181,-0.125
50310131,2.619622,3.5498,100.6997,0,54.59730362,0,0.056,64.34,0.857,0,12.42658615,8.42433506,0.885,1.003,1.314,19.81144332,0.722,0.087,10.05365156,0.878,0.054
3347988,2.97362,3.01772,71.1795,0,33.21934129,0,-0.046,46.34,0.653,0,7.047671983,6.285728804,0.751,1.329,1.449,10.05657299,0.708,0.038,9.423004668,1.412,0.074
36987134,2.188841,3.6198,92.8706,0,36.29869288,0,0.078,65.3,0.955,0,6.255769184,9.883064936,0.593,1.326,1.471,5.316788604,0.412,0.006,14.28668941,1.075,-0.217
177445050,1.880871,2.8115,105.4343,0,12.13273414,0,0.301,56.67,0.991,0,32.72378203,9.874918663,0.454,0.863,0.779,14.78379798,0.843,-0.017,14.90634686,1.415,-0.144
30663852,3.805995,3.3126,84.48,0,29.96098615,0,0.31,33.2,0.852,0,22.95037335,8.375745668,0.471,1.388,1.684,4.983978521,1.094,0.02,4.899909731,0.697,0.0
218757,2.253382,2.7283,100.0117,0,0.0,0,0.118,71.76,1.18,0,18.40630142,8.949746408,0.77,1.297,1.023,29.63233004,1.003,-0.073,5.316788604,1.135,-0.211
43179665,1.218929,3.3461,86.85,0,6.9237372,0,0.279,61.67,1.143,0,0.0,7.703540532,0.617,0.927,0.844,24.31554143,0.978,0.047,13.55135023,1.322,-0.19
2057338,3.184624,5.1197,90.24,0,73.85976848,0,0.528,3.24,1.37,0,13.08951281,8.284287496,0.388,0.992,0.512,4.899909731,1.086,-0.059,0.0,1.4,-0.087
48257407,2.903509,1.8939,81.5017,0,0.0,0,0.016,57.18,1.439,0,48.34330567,7.803765446,0.842,1.79,1.041,14.95193556,0.312,0.823,15.11660807,0.754,-0.481
2853111,1.02792,0.6213,56.245,0,0.0,0,0.056,40.62,1.093,0,26.17902562,5.827479731,0.458,1.476,1.447,9.799819462,0.702,0.089,9.799819462,0.0,-0.244
20689377,3.659059,4.10254,99.004,0,17.69618563,0,0.096,47.09,1.11,0,0.0,8.670252477,0.723,1.296,0.894,19.664373,1.203,-0.131,4.417150937,0.844,-0.1
316806315,2.27486,2.6731,94.4937,0,31.13687179,0,0.115,79.95,1.054,0,13.08951281,8.856514567,0.587,1.482,1.227,24.59162968,0.738,0.154,9.507073458,0.553,-0.122
291159,3.289165,4.0342,111.8477,0,12.13273414,0,-0.251,69.91,1.221,0,26.64618123,9.144657493,1.128,1.144,1.102,14.36865165,0.862,-0.054,19.52737747,0.871,-0.28
37153197,2.671385,3.3701,128.3295,0,13.8474744,0,-0.02,142.33,0.79,0,11.86154501,12.11435849,0.635,1.021,1.056,9.780484743,0.556,0.116,21.52098651,1.394,-0.047
49083485,3.492901,2.7736,84.5625,0,32.0465756,0,0.081,66.06,1.345,0,10.8499724,9.055879536,0.617,1.458,1.33,9.967957042,1.157,0.224,4.983978521,0.031,-0.6
181787,1.02792,0.5719,84.6867,0,0.0,0,-0.201,70.59,1.388,0,46.30436159,7.54647607,0.857,0.682,1.296,20.18465538,0.728,0.015,19.85347102,1.175,-0.436
31858299,1.977477,2.70104,76.1507,0,25.12283841,0,0.047,46.92,0.829,0,5.316788604,6.486479608,0.669,1.668,1.306,9.780484743,0.939,-0.136,5.316788604,0.529,0.027
171813413,1.650366,1.8274,108.6818,0,30.33183534,0,0.207,84.66,1.005,0,13.08951281,9.599647043,0.525,1.472,1.05,14.4509879,0.924,0.023,14.74330008,1.151,-0.174
49010170,2.87051,2.3382,62.6929,0,13.8474744,0,-0.055,57.78,0.609,0,6.544756406,5.873087693,0.777,1.45,1.183,15.51415222,0.807,0.052,5.316788604,0.854,0.059
29371307,3.082243,3.0669,92.3281,0,12.84164325,0,0.299,98.3,0.994,0,5.733667477,8.23271027,0.56,0.908,0.834,29.71639883,0.849,0.092,10.717646,1.325,-0.121
110118917,1.572453,3.9904,115.0162,0,12.13273414,0,-0.007,90.52,1.029,0,5.316788604,10.56061974,0.805,1.138,1.001,29.29951995,0.856,0.046,14.4509879,0.919,-0.137
139117,3.377909,3.7721,121.497,0,54.59730362,0,0.256,49.85,0.985,0,33.79173874,11.25589286,0.458,0.742,1.156,9.799819462,0.681,0.168,14.53668242,1.006,-0.129
35741943,2.833233,2.25234,80.054,0,0.0,0,-0.171,45.15,1.275,0,30.94283541,6.985780946,0.956,0.762,0.858,14.95193556,0.997,0.196,9.799819462,1.415,-0.112
36358730,1.02792,1.4667,89.413,0,0.0,0,0.024,70.16,1.207,0,32.72378203,8.727702264,0.516,0.704,1.705,14.69972919,0.755,0.162,14.53668242,1.363,-0.304
32441825,1.02792,0.8749,55.0014,0,0.0,0,-0.102,55.56,1.033,0,26.43589341,4.384202047,0.705,0.822,0.868,4.899909731,0.959,-0.126,15.37044016,0.695,-0.238
207489,3.512951,5.208,112.3097,0,35.86640816,0,0.054,48.99,0.664,0,13.08951281,10.29160915,0.677,1.035,0.987,15.09727335,0.697,0.02,4.899909731,0.535,0.039
531049,3.76763,2.4092,103.4048,0,0.0,0,-0.343,92.68,1.018,0,34.72921689,9.650188087,1.008,1.001,1.011,0.0,0.727,0.056,33.52770512,1.137,-0.198
LN01342435,1.746689,2.1312,105.2528,0,24.26546827,0,0.007,109.05,0.821,0,0.0,8.548094235,0.844,1.57,0.967,20.37772696,0.832,-0.097,10.717646,1.771,-0.023
300011391,2.280027,0.5121,80.8142,0,6.066367068,0,-0.029,82.27,1.318,0,26.17902562,8.35848199,0.778,1.117,1.188,14.60598312,1.308,0.301,10.30076712,0.082,-0.531
29912859,1.835291,2.77638,77.3787,0,6.420821623,0,0.069,55.71,1.033,0,13.08951281,7.471176983,0.653,0.99,0.75,14.86786677,1.053,-0.073,4.983978521,0.99,-0.185
36924312,1.456563,1.3919,74.6345,0,0.0,0,0.174,61.26,0.974,0,13.08951281,7.365800338,0.51,1.026,1.251,14.4509879,1.014,0.372,10.09050592,0.704,-0.061
31406765,1.980276,1.8226,61.1277,0,12.13273414,0,-0.185,46.92,1.005,0,6.544756406,5.261316058,0.924,1.32,1.261,14.86786677,0.684,0.342,5.316788604,0.766,-0.207
11838926,3.73624,3.5381,113.9647,0,30.33183534,0,0.153,63.03,1.086,0,13.08951281,10.21451554,0.586,1.413,1.257,19.01808755,0.609,0.208,14.4509879,1.331,-0.192
306432,1.02792,0.95172,52.7875,0,0.0,0,0.053,60.15,0.959,0,0.0,4.999745737,0.52,1.133,1.235,19.58203674,0.8,0.107,0.0,2.495,-0.118
31507670,2.058813,2.3294,98.1544,0,24.26546827,0,0.105,144.06,0.904,0,11.46733495,7.706152657,0.735,0.804,0.969,19.93591408,0.762,0.142,21.68038974,1.357,-0.127
24068400,1.02792,1.36432,59.7887,0,0.0,0,-0.16,59.81,0.949,0,5.316788604,5.033716969,0.847,0.952,1.417,14.76446326,0.814,0.013,5.316788604,0.845,-0.143
72973342,2.487878,3.909,118.3917,0,35.86640816,0,0.061,63.05,0.909,0,24.53417895,10.69742364,0.71,0.993,0.982,20.08125187,0.63,0.003,10.21669833,1.314,-0.029
39442564,1.02792,1.9031,53.2753,1,0.0,1,-0.016,68.01,0.89,1,0.0,4.607344193,0.687,1.142,1.359,14.76446326,0.568,-0.063,5.106527395,1.405,-0.104
71010653,1.02792,1.8482,69.142,0,30.34148838,0,0.3,32.67,0.915,0,0.0,6.136989192,0.508,1.059,1.49,4.899909731,0.624,0.198,4.899909731,0.0,-0.115
44556723,1.954932,3.7399,92.3587,0,0.0,0,-0.055,58.64,0.853,0,25.51609896,8.447996143,0.729,0.639,1.008,4.899909731,0.838,-0.091,14.95356129,0.96,-0.106
23671374,1.5388,3.01224,65.9832,0,6.066367068,0,-0.001,41.99,0.801,0,5.316788604,5.776700108,0.722,1.575,1.335,4.983978521,1.423,0.337,5.316788604,0.808,-0.002
50136169,1.02792,1.6335,81.2222,0,0.0,0,-0.007,75.19,1.043,0,11.86154501,7.079663208,0.72,1.225,1.203,14.86786677,0.665,0.134,10.21669833,1.22,-0.208
43102921,2.255309,2.97482,92.851,0,18.19910121,0,0.248,47.48,1.212,0,20.19931035,8.477348404,0.627,1.62,1.045,14.86786677,1.02,-0.097,9.473725908,0.999,-0.252
44855101,2.887008,3.6727,95.8217,0,42.48387556,0,0.138,48.99,0.772,0,13.08951281,8.730197723,0.638,1.066,1.181,15.09727335,0.795,0.011,4.899909731,0.827,0.07
13397114,2.554136,2.30054,70.7729,0,41.42985966,0,0.049,60.91,0.664,0,0.0,5.948107946,0.609,0.833,1.173,9.780484743,0.648,-0.079,5.733667477,0.753,0.082
177471695,1.919904,2.85932,82.8907,0,24.26546827,0,-0.134,72.92,0.669,0,14.21959508,6.795239806,0.988,0.913,0.425,20.62413381,0.7,0.203,9.473725908,1.079,0.155
43947755,2.018222,2.044,70.1884,0,29.8000411,0,-0.193,67.01,0.819,0,12.42658615,5.688381163,1.001,1.351,0.681,10.19736362,0.777,-0.034,10.05365156,1.498,-0.034
300556604,2.593793,2.2194,77.9734,0,48.53093655,0,0.22,46.33,0.849,0,11.94758171,6.30372869,0.538,1.29,1.217,0.0,0.671,0.13,10.63357721,0.748,-0.09
49932658,2.353716,2.65382,65.5307,0,13.34455882,0,0.017,45.23,1.192,0,18.90921699,5.57944351,0.687,1.28,1.053,9.883888252,0.414,0.605,4.899909731,0.154,-0.287
11002413,3.033484,3.0293,108.594,0,30.33183534,0,0.135,81.23,0.926,0,4.899909731,9.436570462,0.598,1.007,1.327,14.76446326,0.581,0.241,9.317060668,1.836,-0.091
31206173,2.078301,4.4505,105.0894,0,12.13273414,0,-0.125,87.21,0.727,0,5.316788604,9.323182858,0.854,0.823,1.104,10.19736362,0.533,0.194,5.316788604,1.049,-0.012
23280366,2.82949,3.9659,105.6797,0,17.66730696,0,-0.093,54.56,0.984,0,20.76435149,9.242159362,0.83,1.357,1.155,9.883888252,0.668,0.001,19.35761416,1.047,-0.134
29911609,3.061013,3.4773,92.908,0,35.4884986,0,0.273,64.28,1.013,0,13.65455395,8.452870425,0.626,1.292,1.174,20.02453003,0.803,0.096,9.259957891,0.942,-0.071
1734240,3.046765,2.7534,113.5397,0,12.13273414,0,-0.15,108.72,1.172,0,22.42253018,11.01407837,0.946,0.968,1.124,5.316788604,0.768,0.092,15.05072815,1.189,-0.379
6892467,1.872098,3.8153,97.9824,0,28.83235584,0,-0.291,84.95,0.618,0,12.42658615,8.535254037,1.224,1.199,1.252,20.62413381,0.733,0.285,14.79051451,1.621,0.106
